percentageTime,cumulativeTime,selfSeconds,calls,selfMs/call,totalMs/call,function,class
5.88,3.02,3.02,5798885.0,0.0,0.0,gnsCholeskyDec,AlfCovariance
3.08,6.81,1.58,3805699.0,0.0,0.0,xPredIntraAng,IntraPrediction
2.47,9.55,1.27,31407280.0,0.0,0.0,xDecide,DQIntern
2.24,11.93,1.15,5696382.0,0.0,0.0,gnsBacksubstitution,AlfCovariance
1.48,13.81,0.76,5696382.0,0.0,0.0,gnsTransposeBacksubstitution,AlfCovariance
1.27,15.22,0.65,36352264.0,0.0,0.0,updateState<,void DQIntern
1.19,16.47,0.61,9075200.0,0.0,0.0,xGetSADwMask_SIMD<,unsigned long RdCost
1.11,17.61,0.57,4679778.0,0.0,0.0,"filterCopy<true, false>",void InterpolationFilter
0.97,18.64,0.5,689183.0,0.0,0.0,xPredAffineBlk,InterPrediction
0.89,19.56,0.46,44368210.0,0.0,0.0,getCU,CodingStructure
0.86,20.44,0.44,1659464.0,0.0,0.0,xFillReferenceSamples,IntraPrediction
0.78,21.26,0.4,14896280.0,0.0,0.0,xGetHADs_SIMD<,unsigned long RdCost
0.73,22.03,0.38,5447092.0,0.0,0.0,void simdFilter<,no_class
0.7,22.75,0.36,95920.0,0.0,0.0,xRateDistOptQuantTS,QuantRDOQ
0.63,23.41,0.33,782148.0,0.0,0.0,xGetSSE16,RdCost
0.58,24.02,0.3,47487.0,0.0,0.0,xCheckRDCostMerge2Nx2N,EncCu
0.56,24.6,0.29,1604174.0,0.0,0.0,xIntraCodingTUBlock,IntraSearch
0.56,25.18,0.29,70959.0,0.0,0.0,optimizeFilter,AlfCovariance
0.56,25.76,0.29,1661104.0,0.0,0.0,xIT,TrQuant
0.56,26.34,0.29,3108597.0,0.0,0.0,xPredInterBi,InterPrediction
0.55,26.9,0.28,547368.0,0.0,0.0,"filterCopy<false, true>",void InterpolationFilter
0.54,27.46,0.28,135326296.0,0.0,0.0,getRecoBuf,Picture
0.51,27.99,0.26,617492.0,0.0,0.0,fastForwardDCT2_B16,no_class
0.51,28.51,0.26,1140951.0,0.0,0.0,computeReducedPred,MatrixIntraPrediction
0.51,29.03,0.26,135326296.0,0.0,0.0,getBuf,PelStorage
0.49,29.53,0.25,162266.0,0.0,0.0,predInterSearch,InterSearch
0.48,30.02,0.25,18379823.0,0.0,0.0,copyFrom,AreaBuf<short>
0.47,30.5,0.24,2886243.0,0.0,0.0,CoeffCodingContext,CoeffCodingContext
0.44,30.96,0.23,44794115.0,0.0,0.0,getCU,CodingStructure
0.43,31.4,0.22,11610041.0,0.0,0.0,"xGetSAD_NxN_SIMD<16, ",unsigned long RdCost
0.41,31.82,0.21,43983.0,0.0,0.0,fastInverseDST7_B32,no_class
0.39,32.23,0.2,3985689.0,0.0,0.0,void simdFilter<,no_class
0.35,32.6,0.18,1812580.0,0.0,0.0,xSetLastCoeffOffset,DQIntern
0.34,32.95,0.18,18326387.0,0.0,0.0,getPU,CodingStructure
0.33,33.29,0.17,951254.0,0.0,0.0,transformNxN,TrQuant
0.32,33.63,0.17,24976951.0,0.0,0.0,filterHor,InterpolationFilter
0.31,33.95,0.16,3289062.0,0.0,0.0,QpParam,QpParam
0.31,34.27,0.16,428363.0,0.0,0.0,xPredIntraPlanar,IntraPrediction
0.29,34.58,0.15,96201111.0,0.0,0.0,getBuf,PelStorage
0.29,34.88,0.15,20527370.0,0.0,0.0,encodeBin,TBitEstimator<BinProbModel_Std>
0.29,35.18,0.15,6059668.0,0.0,0.0,updateState<,void DQIntern
0.29,35.48,0.15,2667639.0,0.0,0.0,last_sig_coeff,CABACWriter
0.29,35.78,0.15,340733.0,0.0,0.0,invLfnstNxN,TrQuant
0.27,36.06,0.14,1955936.0,0.0,0.0,initData,CodingUnit
0.27,36.34,0.14,572046.0,0.0,0.0,xRecurIntraCodingLumaQT,IntraSearch
0.27,36.62,0.14,391579.0,0.0,0.0,xPatternSearchIntRefine,InterSearch
0.25,36.89,0.13,27706505.0,0.0,0.0,xPredInterBlkRPR,InterPrediction
0.25,37.15,0.13,3597945.0,0.0,0.0,motionCompensation,InterPrediction
0.25,37.41,0.13,438989.0,0.0,0.0,fwdLfnstNxN,TrQuant
0.24,37.67,0.13,18066741.0,0.0,0.0,getCbfAtDepth,TU
0.23,37.91,0.12,2617889.0,0.0,0.0,copyClip,AreaBuf<short>
0.23,38.15,0.12,452672.0,0.0,0.0,applyBiOptFlow,InterPrediction
0.22,38.38,0.12,32493203.0,0.0,0.0,clipMvInPic,no_class
0.22,38.61,0.12,6880094.0,0.0,0.0,getDistPart,RdCost
0.21,38.84,0.11,5515282.0,0.0,0.0,updateState<,void DQIntern
0.21,39.06,0.11,5160717.0,0.0,0.0,cbf_comp,CABACWriter
0.21,39.28,0.11,1812580.0,0.0,0.0,xSetGtxFlagBits,DQIntern
0.21,39.5,0.11,1264081.0,0.0,0.0,"xGetSAD_NxN_SIMD<64, ",unsigned long RdCost
0.21,39.72,0.11,226423.0,0.0,0.0,xRecurIntraChromaCodingQT,IntraSearch
0.2,39.93,0.11,9554151.0,0.0,0.0,fill,AreaBuf<unsigned int>
0.19,40.13,0.1,5253028.0,0.0,0.0,canSplit,QTBTPartitioner
0.19,40.33,0.1,2301965.0,0.0,0.0,mmvd_merge_idx,CABACWriter
0.19,40.53,0.1,719736.0,0.0,0.0,motionErrorLuma,EncTemporalFilter
0.19,40.73,0.1,5618462.0,0.0,0.0,initSubblock,CoeffCodingContext
0.19,40.92,0.1,222191.0,0.0,0.0,void removeWeightHighFreq_SSE<,no_class
0.18,41.1,0.09,1725090.0,0.0,0.0,dequant,DepQuant
0.18,41.28,0.09,346172.0,0.0,0.0,void simdInterpolateHorM8<,no_class
0.18,41.46,0.09,185768.0,0.0,0.0,"pair<long, long> fwdTransformCbCr<-1>",std
0.18,41.64,0.09,26327.0,0.0,0.0,fastForwardDCT2_B64,no_class
0.16,41.8,0.08,15390073.0,0.0,0.0,getResiBuf,CodingStructure
0.16,41.96,0.08,5640818.0,0.0,0.0,calculateError,AlfCovariance
0.16,42.12,0.08,3761159.0,0.0,0.0,clearCUs,CodingStructure
0.16,42.28,0.08,2520610.0,0.0,0.0,quant,DepQuant
0.16,42.44,0.08,419313.0,0.0,0.0,fastInverseDCT2_B16,no_class
0.14,42.58,0.07,298353.0,0.0,0.0,xTZSearch,InterSearch
0.14,42.72,0.07,2698484.0,0.0,0.0,xCheckRDCostMerge2Nx2N,unsigned int updateCandList<EncCu
