percentage_time,cumulative_sec,self_sec,calls,self sec/call,total sec/call,name,class,function
5.88,3.02,3.02,5798885.0,0.0,0.0,"AlfCovariance::gnsCholeskyDec(double (*) [13], double (*) [13], int) const",AlfCovariance,gnsCholeskyDec
4.31,5.23,2.21,35143650.0,0.0,0.0,"unsigned long RdCost::xGetSAD_NxN_SIMD<4, (X86_VEXT)3>(DistParam const&)",unsigned long RdCost,"xGetSAD_NxN_SIMD<4, "
3.08,6.81,1.58,3805699.0,0.0,0.0,"IntraPrediction::xPredIntraAng(AreaBuf<short const> const&, AreaBuf<short>&, ChannelType, ClpRng const&)",IntraPrediction,xPredIntraAng
2.86,8.28,1.47,4164923.0,0.0,0.0,"CABACWriter::residual_coding_subblock(CoeffCodingContext&, int const*, int, int&)",CABACWriter,residual_coding_subblock
2.47,9.55,1.27,31407280.0,0.0,0.0,"DQIntern::DepQuant::xDecide(DQIntern::ScanPosType, int, int, DQIntern::Decision*, bool, int)",DQIntern,DepQuant::xDecide
2.4,10.78,1.23,2408848.0,0.0,0.0,"DQIntern::DepQuant::quant(TransformUnit&, AreaBuf<int const> const&, ComponentID, QpParam const&, double, Ctx const&, int&, bool, int*)",DQIntern,DepQuant::quant
2.24,11.93,1.15,5696382.0,0.0,0.0,"AlfCovariance::gnsBacksubstitution(double (*) [13], double*, int, double*) const",AlfCovariance,gnsBacksubstitution
2.18,13.05,1.12,31407280.0,0.0,0.0,"DQIntern::DepQuant::xDecideAndUpdate(int, DQIntern::ScanInfo const&, bool, int, int, int, bool)",DQIntern,DepQuant::xDecideAndUpdate
1.48,13.81,0.76,5696382.0,0.0,0.0,"AlfCovariance::gnsTransposeBacksubstitution(double (*) [13], double*, double*, int) const",AlfCovariance,gnsTransposeBacksubstitution
1.48,14.57,0.76,120.0,0.01,0.01,"EncAdaptiveLoopFilter::getBlkStats(AlfCovariance*, AlfFilterShape const&, AlfClassifier**, short*, int, short*, int, CompArea const&, CompArea const&, ChannelType, int, int)",EncAdaptiveLoopFilter,getBlkStats
1.27,15.22,0.65,36352264.0,0.0,0.0,"void DQIntern::State::updateState<(unsigned char)5>(DQIntern::ScanInfo const&, DQIntern::State const*, DQIntern::Decision const&, int, bool)",void DQIntern,State::updateState<
1.25,15.86,0.64,171544.0,0.0,0.0,"IntraSearch::estIntraPredLumaQT(CodingUnit&, Partitioner&, double, bool, int, int, bool, CodingStructure*)",IntraSearch,estIntraPredLumaQT
1.19,16.47,0.61,9075200.0,0.0,0.0,unsigned long RdCost::xGetSADwMask_SIMD<(X86_VEXT)3>(DistParam const&),unsigned long RdCost,xGetSADwMask_SIMD<
1.11,17.04,0.57,207960012.0,0.0,0.0,CtxStore<BinProbModel_Std>::getFracBitsArray(unsigned int) const,CtxStore<BinProbModel_Std>,getFracBitsArray
1.11,17.61,0.57,4679778.0,0.0,0.0,"void InterpolationFilter::filterCopy<true, false>(ClpRng const&, short const*, int, short*, int, int, int, bool)",void InterpolationFilter,"filterCopy<true, false>"
1.03,18.14,0.53,32005736.0,0.0,0.0,"void DQIntern::State::updateState<(unsigned char)4>(DQIntern::ScanInfo const&, DQIntern::State const*, DQIntern::Decision const&, int, bool)",void DQIntern,State::updateState<
0.97,18.64,0.5,689183.0,0.0,0.0,"InterPrediction::xPredAffineBlk(ComponentID const&, PredictionUnit const&, Picture const*, Mv const*, UnitBuf<short>&, bool const&, ClpRng const&, bool, std::pair<int, int>)",InterPrediction,xPredAffineBlk
0.9,19.1,0.46,27333868.0,0.0,0.0,"void DQIntern::State::updateState<(unsigned char)2>(DQIntern::ScanInfo const&, DQIntern::State const*, DQIntern::Decision const&, int, bool)",void DQIntern,State::updateState<
0.89,19.56,0.46,44368210.0,0.0,0.0,"CodingStructure::getCU(Position const&, ChannelType)",CodingStructure,getCU
0.86,20.0,0.44,3049393.0,0.0,0.0,"CABACWriter::residual_coding(TransformUnit const&, ComponentID, CUCtx*)",CABACWriter,residual_coding
0.86,20.44,0.44,1659464.0,0.0,0.0,"IntraPrediction::xFillReferenceSamples(AreaBuf<short const> const&, short*, CompArea const&, CodingUnit const&)",IntraPrediction,xFillReferenceSamples
0.82,20.86,0.42,14536763.0,0.0,0.0,"void InterpolationFilter::filterCopy<true, true>(ClpRng const&, short const*, int, short*, int, int, int, bool)",void InterpolationFilter,"filterCopy<true, true>"
0.78,21.26,0.4,14896280.0,0.0,0.0,unsigned long RdCost::xGetHADs_SIMD<(X86_VEXT)3>(DistParam const&),unsigned long RdCost,xGetHADs_SIMD<
0.77,21.65,0.4,1373049.0,0.0,0.0,"void simdFilter<(X86_VEXT)3, 4, false, false, true>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)",no_class_function,void simdFilter
0.73,22.03,0.38,5447092.0,0.0,0.0,"void simdFilter<(X86_VEXT)3, 4, true, false, false>(ClpRng const&, short const*, int, short*, int, int, int, short const*, bool)",no_class_function,void simdFilter
0.71,22.39,0.37,1544158.0,0.0,0.0,RdCost::xGetSSE8(DistParam const&),RdCost,xGetSSE8
0.7,22.75,0.36,95920.0,0.0,0.0,"QuantRDOQ::xRateDistOptQuantTS(TransformUnit&, ComponentID const&, AreaBuf<int const> const&, int&, QpParam const&, Ctx const&)",QuantRDOQ,xRateDistOptQuantTS
0.64,23.08,0.33,100205.0,0.0,0.0,"void simdEqualCoeffComputer<(X86_VEXT)3>(short*, int, int**, int, long (*) [7], int, int, bool)",no_class_function,void simdEqualCoeffComputer
0.63,23.41,0.33,782148.0,0.0,0.0,RdCost::xGetSSE16(DistParam const&),RdCost,xGetSSE16
0.6,23.72,0.31,9860921.0,0.0,0.0,"InterPrediction::xPredInterBlk(ComponentID const&, PredictionUnit const&, Picture const*, Mv const&, UnitBuf<short>&, bool const&, ClpRng const&, bool const&, bool, std::pair<int, int>, unsigned int, unsigned int, bool, short*, int)",InterPrediction,xPredInterBlk
