bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
,,,,,BQMall,intra,4x4-3-8x8-1.cpp,22
26463.33,42.3755,44.06,45.5803,43.0333,BQMall,intra,8x8-4,22
26456.475,42.3744,44.0668,45.5697,43.0323,BQMall,intra,8x8-4,22
26446.305,42.3708,44.0594,45.5729,43.0289,BQMall,intra,4x4-3-8x8-SAD.cpp,22
26442.69,42.3755,44.061,45.567,43.0322,BQMall,intra,8x8-1,22
26453.685,42.3713,44.0589,45.5692,43.0289,BQMall,intra,4x4-1-8x8-SAD,22
26490.57,42.3739,44.0549,45.5812,43.0315,BQMall,intra,8x8-5,22
26456.475,42.3744,44.0668,45.5697,43.0323,BQMall,intra,4x4-1-8x8-2.cpp,22
26456.475,42.3744,44.0668,45.5697,43.0323,BQMall,intra,4x4-1-8x8-1.cpp,22
26454.72,42.3767,44.0597,45.5678,43.033,BQMall,intra,8x8-3,22
26456.475,42.3744,44.0668,45.5697,43.0323,BQMall,intra,8x8-5,22
26444.595,42.3739,44.0626,45.5779,43.0321,BQMall,intra,8x8-2,22
26456.475,42.3744,44.0668,45.5697,43.0323,BQMall,intra,4x4-1-8x8-3.cpp,22
26452.59,42.3747,44.0615,45.5767,43.0325,BQMall,intra,8x8-SAD,22
26433.96,42.3713,44.0537,45.5739,43.0286,BQMall,intra,4x4-3.cpp,22
16237.035,39.3946,41.6206,42.7285,40.1318,BQMall,intra,4x4-1-8x8-3.cpp,27
16249.455,39.3974,41.6474,42.726,40.1369,BQMall,intra,4x4-3-8x8-SAD.cpp,27
16239.45,39.3973,41.6354,42.7163,40.1346,BQMall,intra,8x8-2,27
16237.035,39.3946,41.6206,42.7285,40.1318,BQMall,intra,4x4-1-8x8-1.cpp,27
16237.035,39.3946,41.6206,42.7285,40.1318,BQMall,intra,8x8-4,27
16239.93,39.3974,41.633,42.7155,40.1343,BQMall,intra,8x8-SAD,27
16242.0,39.3978,41.629,42.7205,40.1345,BQMall,intra,8x8-4,27
16234.56,39.3964,41.636,42.7133,40.1336,BQMall,intra,8x8-3,27
16243.785,39.3996,41.6279,42.7256,40.1363,BQMall,intra,8x8-1,27
16237.035,39.3946,41.6206,42.7285,40.1318,BQMall,intra,8x8-5,27
,,,,,BQMall,intra,4x4-3-8x8-1.cpp,27
16237.425,39.3985,41.636,42.7292,40.1367,BQMall,intra,4x4-3.cpp,27
16249.395,39.3991,41.6214,42.7151,40.1342,BQMall,intra,4x4-1-8x8-SAD,27
16269.78,39.4005,41.6232,42.7035,40.1345,BQMall,intra,8x8-5,27
16237.035,39.3946,41.6206,42.7285,40.1318,BQMall,intra,4x4-1-8x8-2.cpp,27
9783.36,36.1972,39.5632,40.2526,37.1177,BQMall,intra,8x8-5,32
9756.3,36.1942,39.5694,40.2408,37.1148,BQMall,intra,8x8-4,32
,,,,,BQMall,intra,4x4-3-8x8-1.cpp,32
9763.695,36.1955,39.5736,40.2627,37.1181,BQMall,intra,4x4-1-8x8-SAD,32
9756.3,36.1942,39.5694,40.2408,37.1148,BQMall,intra,4x4-1-8x8-1.cpp,32
9757.665,36.1943,39.5662,40.2505,37.1154,BQMall,intra,8x8-4,32
9765.69,36.1987,39.5742,40.2605,37.1206,BQMall,intra,8x8-3,32
9756.3,36.1942,39.5694,40.2408,37.1148,BQMall,intra,4x4-1-8x8-2.cpp,32
9761.205,36.1962,39.5866,40.2661,37.1202,BQMall,intra,8x8-SAD,32
9752.205,36.1951,39.5753,40.249,37.1168,BQMall,intra,8x8-1,32
9751.875,36.1958,39.5727,40.2475,37.117,BQMall,intra,4x4-3.cpp,32
9756.3,36.1942,39.5694,40.2408,37.1148,BQMall,intra,4x4-1-8x8-3.cpp,32
9756.9,36.1904,39.5708,40.2454,37.1122,BQMall,intra,4x4-3-8x8-SAD.cpp,32
9756.3,36.1942,39.5694,40.2408,37.1148,BQMall,intra,8x8-5,32
9748.53,36.1916,39.5596,40.2715,37.1142,BQMall,intra,8x8-2,32
5548.29,32.8634,38.0825,38.7927,34.0588,BQMall,intra,4x4-3-8x8-SAD.cpp,37
5555.82,32.8582,38.073,38.7818,34.053,BQMall,intra,8x8-5,37
5546.025,32.8655,38.0849,38.7752,34.0599,BQMall,intra,8x8-SAD,37
5542.815,32.8605,38.0868,38.7928,34.0566,BQMall,intra,8x8-4,37
5542.815,32.8605,38.0868,38.7928,34.0566,BQMall,intra,4x4-1-8x8-1.cpp,37
5544.015,32.8671,38.066,38.7767,34.0601,BQMall,intra,8x8-2,37
5542.815,32.8605,38.0868,38.7928,34.0566,BQMall,intra,4x4-1-8x8-3.cpp,37
5550.795,32.872,38.08,38.7774,34.0654,BQMall,intra,8x8-3,37
5542.815,32.8605,38.0868,38.7928,34.0566,BQMall,intra,8x8-5,37
5554.26,32.8756,38.0967,38.7962,34.0707,BQMall,intra,4x4-3.cpp,37
5542.815,32.8605,38.0868,38.7928,34.0566,BQMall,intra,4x4-1-8x8-2.cpp,37
5545.095,32.8631,38.0695,38.7835,34.0572,BQMall,intra,4x4-1-8x8-SAD,37
,,,,,BQMall,intra,4x4-3-8x8-1.cpp,37
5547.075,32.8688,38.0823,38.765,34.062,BQMall,intra,8x8-4,37
5546.31,32.8663,38.0865,38.7893,34.0615,BQMall,intra,8x8-1,37
