bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
49173.1125,41.7557,45.6818,47.7255,42.855,BasketballDrive,intra,8x8-1,22
49178.2625,41.7551,45.6767,47.7204,42.8538,BasketballDrive,intra,4x4-1-8x8-3.cpp,22
49178.2625,41.7551,45.6767,47.7204,42.8538,BasketballDrive,intra,8x8-5,22
49187.2125,41.7554,45.6795,47.7167,42.8541,BasketballDrive,intra,8x8-SAD,22
49234.7375,41.7601,45.6773,47.7277,42.8585,BasketballDrive,intra,4x4-3.cpp,22
49207.725,41.758,45.6811,47.7251,42.8569,BasketballDrive,intra,8x8-2,22
49178.2625,41.7551,45.6767,47.7204,42.8538,BasketballDrive,intra,4x4-1-8x8-2.cpp,22
49178.2625,41.7551,45.6767,47.7204,42.8538,BasketballDrive,intra,4x4-1-8x8-1.cpp,22
49178.2625,41.7551,45.6767,47.7204,42.8538,BasketballDrive,intra,8x8-4,22
49142.3,41.7539,45.679,47.722,42.853,BasketballDrive,intra,8x8-3,22
49172.5,41.7554,45.6788,47.7236,42.8544,BasketballDrive,intra,8x8-4,22
49154.6875,41.7539,45.6796,47.7217,42.8531,BasketballDrive,intra,4x4-3-8x8-SAD.cpp,22
49188.1875,41.7551,45.6793,47.7237,42.8542,BasketballDrive,intra,4x4-1-8x8-SAD,22
49028.3625,41.7439,45.6782,47.7205,42.8443,BasketballDrive,intra,8x8-5,22
,,,,,BasketballDrive,intra,4x4-3-8x8-1.cpp,22
49178.2625,41.7551,45.6767,47.7204,42.8538,BasketballDrive,intra,4x4-2-8x8-4.cpp,22
18404.075,39.8825,44.4334,45.6414,41.0206,BasketballDrive,intra,8x8-4,27
18406.9375,39.8815,44.432,45.656,41.0205,BasketballDrive,intra,8x8-3,27
18386.725,39.8798,44.4295,45.6501,41.0185,BasketballDrive,intra,4x4-1-8x8-1.cpp,27
18395.1125,39.8798,44.4333,45.6579,41.0192,BasketballDrive,intra,4x4-3-8x8-SAD.cpp,27
18388.8625,39.8804,44.4324,45.6472,41.019,BasketballDrive,intra,8x8-2,27
18406.1,39.8806,44.4368,45.6533,41.0199,BasketballDrive,intra,8x8-SAD,27
18419.875,39.8805,44.4356,45.6459,41.0193,BasketballDrive,intra,8x8-5,27
18397.4375,39.8815,44.4281,45.6496,41.0198,BasketballDrive,intra,8x8-1,27
18386.725,39.8798,44.4295,45.6501,41.0185,BasketballDrive,intra,8x8-4,27
18386.725,39.8798,44.4295,45.6501,41.0185,BasketballDrive,intra,4x4-1-8x8-3.cpp,27
18386.725,39.8798,44.4295,45.6501,41.0185,BasketballDrive,intra,4x4-2-8x8-4.cpp,27
18401.225,39.8801,44.4309,45.6484,41.0187,BasketballDrive,intra,4x4-1-8x8-SAD,27
,,,,,BasketballDrive,intra,4x4-3-8x8-1.cpp,27
18386.725,39.8798,44.4295,45.6501,41.0185,BasketballDrive,intra,8x8-5,27
18388.35,39.8817,44.4251,45.6597,41.0203,BasketballDrive,intra,4x4-3.cpp,27
18386.725,39.8798,44.4295,45.6501,41.0185,BasketballDrive,intra,4x4-1-8x8-2.cpp,27
9593.2125,38.6024,43.0524,43.5597,39.682,BasketballDrive,intra,4x4-3.cpp,32
9616.625,38.6014,43.0569,43.5688,39.682,BasketballDrive,intra,4x4-1-8x8-SAD,32
9617.425,38.6021,43.0516,43.5725,39.6824,BasketballDrive,intra,8x8-4,32
9605.5375,38.6004,43.0614,43.5713,39.6818,BasketballDrive,intra,8x8-3,32
9617.425,38.6021,43.0516,43.5725,39.6824,BasketballDrive,intra,4x4-1-8x8-2.cpp,32
9617.425,38.6021,43.0516,43.5725,39.6824,BasketballDrive,intra,4x4-1-8x8-1.cpp,32
9617.8875,38.6004,43.0557,43.5845,39.6822,BasketballDrive,intra,4x4-3-8x8-SAD.cpp,32
9615.275,38.6025,43.0522,43.5651,39.6823,BasketballDrive,intra,8x8-4,32
9617.425,38.6021,43.0516,43.5725,39.6824,BasketballDrive,intra,4x4-2-8x8-4.cpp,32
9606.85,38.6013,43.0586,43.5579,39.6813,BasketballDrive,intra,8x8-2,32
9618.0875,38.6009,43.0563,43.5709,39.6816,BasketballDrive,intra,8x8-SAD,32
9617.425,38.6021,43.0516,43.5725,39.6824,BasketballDrive,intra,8x8-5,32
9617.425,38.6021,43.0516,43.5725,39.6824,BasketballDrive,intra,4x4-1-8x8-3.cpp,32
9600.125,38.6009,43.0553,43.5662,39.6814,BasketballDrive,intra,8x8-1,32
,,,,,BasketballDrive,intra,4x4-3-8x8-1.cpp,32
9627.875,38.6007,43.0555,43.5681,39.6813,BasketballDrive,intra,8x8-5,32
5491.2875,37.0455,41.758,41.8323,38.1321,BasketballDrive,intra,4x4-1-8x8-SAD,37
5495.6875,37.0424,41.7621,41.828,38.1295,BasketballDrive,intra,8x8-5,37
5491.875,37.0448,41.7497,41.8399,38.1315,BasketballDrive,intra,4x4-3-8x8-SAD.cpp,37
5485.875,37.0449,41.7561,41.8326,38.1315,BasketballDrive,intra,8x8-3,37
5484.3125,37.0488,41.7433,41.8316,38.1338,BasketballDrive,intra,8x8-4,37
5484.3125,37.0488,41.7433,41.8316,38.1338,BasketballDrive,intra,4x4-2-8x8-4.cpp,37
5484.3125,37.0488,41.7433,41.8316,38.1338,BasketballDrive,intra,4x4-1-8x8-2.cpp,37
5484.3125,37.0488,41.7433,41.8316,38.1338,BasketballDrive,intra,4x4-1-8x8-1.cpp,37
5473.3125,37.0491,41.7531,41.8275,38.1344,BasketballDrive,intra,4x4-3.cpp,37
5487.5375,37.0495,41.7497,41.8389,38.1355,BasketballDrive,intra,8x8-2,37
5484.575,37.0439,41.7539,41.8213,38.1296,BasketballDrive,intra,8x8-SAD,37
5484.9625,37.0496,41.7653,41.8455,38.1372,BasketballDrive,intra,8x8-1,37
5484.3125,37.0488,41.7433,41.8316,38.1338,BasketballDrive,intra,4x4-1-8x8-3.cpp,37
5484.3125,37.0488,41.7433,41.8316,38.1338,BasketballDrive,intra,8x8-5,37
5481.575,37.0467,41.744,41.8309,38.132,BasketballDrive,intra,8x8-4,37
,,,,,BasketballDrive,intra,4x4-3-8x8-1.cpp,37
