bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
,,,,,BasketballPass,intra,4x4-3-8x8-1.cpp,22
4872.925,43.6044,45.8162,46.1514,44.2611,BasketballPass,intra,8x8-5,22
4878.3625,43.6067,45.8276,46.1897,44.2682,BasketballPass,intra,4x4-3-8x8-SAD.cpp,22
4872.35,43.6113,45.8011,46.1829,44.2681,BasketballPass,intra,8x8-4,22
4874.575,43.6077,45.8331,46.1867,44.2695,BasketballPass,intra,8x8-4,22
4874.575,43.6077,45.8331,46.1867,44.2695,BasketballPass,intra,4x4-1-8x8-1.cpp,22
4871.7,43.611,45.8093,46.1681,44.2671,BasketballPass,intra,8x8-2,22
4871.55,43.6104,45.8034,46.1656,44.2657,BasketballPass,intra,8x8-SAD,22
4874.575,43.6077,45.8331,46.1867,44.2695,BasketballPass,intra,4x4-1-8x8-3.cpp,22
4869.325,43.6037,45.8249,46.1798,44.2646,BasketballPass,intra,8x8-3,22
4874.575,43.6077,45.8331,46.1867,44.2695,BasketballPass,intra,8x8-5,22
4867.0875,43.607,45.8025,46.1782,44.2644,BasketballPass,intra,4x4-3.cpp,22
4868.3625,43.6076,45.8135,46.1691,44.2652,BasketballPass,intra,8x8-1,22
4871.6125,43.6052,45.8037,46.168,44.2621,BasketballPass,intra,4x4-1-8x8-SAD,22
4874.575,43.6077,45.8331,46.1867,44.2695,BasketballPass,intra,4x4-1-8x8-2.cpp,22
2861.25,40.1042,42.5228,42.6661,40.7857,BasketballPass,intra,4x4-1-8x8-1.cpp,27
2859.125,40.1008,42.5395,42.6539,40.7837,BasketballPass,intra,8x8-1,27
2870.4625,40.1168,42.5351,42.6608,40.7966,BasketballPass,intra,8x8-5,27
,,,,,BasketballPass,intra,4x4-3-8x8-1.cpp,27
2863.6375,40.1058,42.5312,42.6482,40.786,BasketballPass,intra,4x4-3-8x8-SAD.cpp,27
2863.0125,40.1105,42.5332,42.6389,40.789,BasketballPass,intra,8x8-4,27
2861.25,40.1042,42.5228,42.6661,40.7857,BasketballPass,intra,8x8-4,27
2862.425,40.1096,42.5226,42.6693,40.7905,BasketballPass,intra,8x8-2,27
2856.4125,40.0951,42.527,42.6565,40.7782,BasketballPass,intra,4x4-1-8x8-SAD,27
2861.25,40.1042,42.5228,42.6661,40.7857,BasketballPass,intra,4x4-1-8x8-3.cpp,27
2859.125,40.0948,42.519,42.6598,40.7775,BasketballPass,intra,8x8-SAD,27
2858.45,40.1056,42.5361,42.6354,40.7852,BasketballPass,intra,4x4-3.cpp,27
2861.675,40.1072,42.5179,42.6368,40.7845,BasketballPass,intra,8x8-3,27
2861.25,40.1042,42.5228,42.6661,40.7857,BasketballPass,intra,4x4-1-8x8-2.cpp,27
