bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
49981.65,46.2705,51.4669,52.9835,47.505,FoodMarket4,intra,8x8-2,22
50022.51,46.2701,51.4626,52.9851,47.5044,FoodMarket4,intra,8x8-5,22
50029.02,46.2694,51.4656,52.9825,47.5039,FoodMarket4,intra,8x8-SAD,22
50002.635,46.2683,51.4636,52.9818,47.5028,FoodMarket4,intra,8x8-5,22
49862.91,46.2705,51.4682,52.9847,47.5051,FoodMarket4,intra,4x4-3.cpp,22
50022.51,46.2701,51.4626,52.9851,47.5044,FoodMarket4,intra,4x4-1-8x8-3.cpp,22
50022.51,46.2701,51.4626,52.9851,47.5044,FoodMarket4,intra,8x8-4,22
49999.845,46.2702,51.4648,52.9841,47.5046,FoodMarket4,intra,8x8-3,22
50022.51,46.2701,51.4626,52.9851,47.5044,FoodMarket4,intra,4x4-1-8x8-2.cpp,22
49935.915,46.2697,51.4667,52.982,47.5042,FoodMarket4,intra,8x8-1,22
50001.285,46.2691,51.4619,52.9826,47.5033,FoodMarket4,intra,4x4-3-8x8-SAD.cpp,22
50006.07,46.2691,51.4632,52.9844,47.5036,FoodMarket4,intra,4x4-1-8x8-SAD,22
50022.12,46.2701,51.4626,52.9855,47.5044,FoodMarket4,intra,8x8-4,22
,,,,,FoodMarket4,intra,4x4-3-8x8-1.cpp,22
50022.51,46.2701,51.4626,52.9851,47.5044,FoodMarket4,intra,4x4-1-8x8-1.cpp,22
23071.65,45.4569,49.8263,50.8016,46.5566,FoodMarket4,intra,4x4-1-8x8-1.cpp,27
23033.16,45.4575,49.8345,50.7968,46.5574,FoodMarket4,intra,8x8-1,27
23086.17,45.4568,49.825,50.7918,46.5559,FoodMarket4,intra,8x8-SAD,27
23071.65,45.4569,49.8263,50.8016,46.5566,FoodMarket4,intra,4x4-1-8x8-3.cpp,27
23093.295,45.4565,49.8251,50.7952,46.5557,FoodMarket4,intra,4x4-3-8x8-SAD.cpp,27
23034.345,45.4569,49.8281,50.8083,46.5571,FoodMarket4,intra,8x8-2,27
23071.65,45.4569,49.8263,50.8016,46.5566,FoodMarket4,intra,8x8-4,27
23071.65,45.4569,49.8263,50.8016,46.5566,FoodMarket4,intra,8x8-5,27
22973.76,45.4583,49.831,50.803,46.5583,FoodMarket4,intra,4x4-3.cpp,27
,,,,,FoodMarket4,intra,4x4-1-8x8-2.cpp,27
23071.65,45.4569,49.8263,50.8016,46.5566,FoodMarket4,intra,8x8-4,27
23095.05,45.4566,49.825,50.794,46.5558,FoodMarket4,intra,4x4-1-8x8-SAD,27
,,,,,FoodMarket4,intra,4x4-3-8x8-1.cpp,27
23049.18,45.4568,49.8242,50.7989,46.5561,FoodMarket4,intra,8x8-3,27
23098.11,45.4564,49.8238,50.8028,46.556,FoodMarket4,intra,8x8-5,27
14514.045,44.6337,47.9654,48.4949,45.535,FoodMarket4,intra,4x4-1-8x8-1.cpp,32
14514.045,44.6337,47.9654,48.4949,45.535,FoodMarket4,intra,8x8-4,32
14534.58,44.6322,47.9747,48.504,45.5355,FoodMarket4,intra,4x4-3-8x8-SAD.cpp,32
,,,,,FoodMarket4,intra,4x4-3-8x8-1.cpp,32
14534.265,44.6315,47.974,48.4964,45.5342,FoodMarket4,intra,8x8-SAD,32
,,,,,FoodMarket4,intra,4x4-1-8x8-3.cpp,32
14514.045,44.6337,47.9654,48.4949,45.535,FoodMarket4,intra,8x8-4,32
,,,,,FoodMarket4,intra,8x8-5,32
14514.045,44.6337,47.9654,48.4949,45.535,FoodMarket4,intra,8x8-5,32
14433.42,44.6375,47.9778,48.4989,45.5397,FoodMarket4,intra,4x4-3.cpp,32
,,,,,FoodMarket4,intra,4x4-1-8x8-2.cpp,32
14534.58,44.6322,47.9747,48.504,45.5355,FoodMarket4,intra,4x4-1-8x8-SAD,32
14490.0,44.6364,47.9706,48.4983,45.538,FoodMarket4,intra,8x8-1,32
14505.525,44.6363,47.9787,48.4999,45.5388,FoodMarket4,intra,8x8-2,32
,,,,,FoodMarket4,intra,8x8-3,32
,,,,,FoodMarket4,intra,4x4-3-8x8-SAD.cpp,37
9469.455,43.2669,46.603,46.6158,44.123,FoodMarket4,intra,8x8-5,37
,,,,,FoodMarket4,intra,8x8-SAD,37
,,,,,FoodMarket4,intra,8x8-4,37
,,,,,FoodMarket4,intra,4x4-1-8x8-1.cpp,37
,,,,,FoodMarket4,intra,8x8-2,37
,,,,,FoodMarket4,intra,4x4-1-8x8-3.cpp,37
,,,,,FoodMarket4,intra,8x8-3,37
,,,,,FoodMarket4,intra,8x8-5,37
,,,,,FoodMarket4,intra,4x4-3.cpp,37
,,,,,FoodMarket4,intra,4x4-1-8x8-2.cpp,37
,,,,,FoodMarket4,intra,4x4-1-8x8-SAD,37
,,,,,FoodMarket4,intra,4x4-3-8x8-1.cpp,37
,,,,,FoodMarket4,intra,8x8-4,37
,,,,,FoodMarket4,intra,8x8-1,37
