bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
,,,,,RaceHorses,intra,4x4-3-8x8-1.cpp,22
4730.07,43.4718,43.5033,44.1788,43.5866,RaceHorses,intra,8x8-1,22
4742.73,43.4721,43.5132,44.189,43.5899,RaceHorses,intra,8x8-5,22
4736.1,43.472,43.522,44.18,43.59,RaceHorses,intra,4x4-1-8x8-3.cpp,22
4734.855,43.467,43.5111,44.1894,43.5861,RaceHorses,intra,4x4-3-8x8-SAD.cpp,22
4733.7825,43.4654,43.5189,44.1902,43.5865,RaceHorses,intra,8x8-SAD,22
4736.4675,43.4711,43.5154,44.2112,43.5928,RaceHorses,intra,4x4-1-8x8-SAD,22
4730.67,43.4665,43.5118,44.2013,43.5877,RaceHorses,intra,8x8-4,22
4736.1,43.472,43.522,44.18,43.59,RaceHorses,intra,8x8-4,22
4736.1,43.472,43.522,44.18,43.59,RaceHorses,intra,4x4-1-8x8-2.cpp,22
4736.07,43.4759,43.513,44.1936,43.5932,RaceHorses,intra,8x8-3,22
4733.52,43.4705,43.502,44.1974,43.5881,RaceHorses,intra,4x4-3.cpp,22
4733.205,43.4713,43.5094,44.1882,43.5886,RaceHorses,intra,8x8-2,22
4736.1,43.472,43.522,44.18,43.59,RaceHorses,intra,4x4-1-8x8-1.cpp,22
4736.1,43.472,43.522,44.18,43.59,RaceHorses,intra,8x8-5,22
2936.4525,39.3817,39.87,40.606,39.643,RaceHorses,intra,8x8-1,27
2937.915,39.3724,39.8761,40.6131,39.6385,RaceHorses,intra,8x8-4,27
2937.915,39.3724,39.8761,40.6131,39.6385,RaceHorses,intra,4x4-1-8x8-1.cpp,27
2937.795,39.3736,39.8788,40.6235,39.6409,RaceHorses,intra,8x8-4,27
2936.4075,39.3648,39.8539,40.6178,39.6298,RaceHorses,intra,4x4-3-8x8-SAD.cpp,27
2942.745,39.3692,39.8778,40.6463,39.6408,RaceHorses,intra,8x8-5,27
2936.7975,39.3749,39.8596,40.6218,39.6388,RaceHorses,intra,8x8-2,27
2937.915,39.3724,39.8761,40.6131,39.6385,RaceHorses,intra,4x4-1-8x8-3.cpp,27
2936.73,39.3724,39.8748,40.6141,39.6383,RaceHorses,intra,8x8-SAD,27
2936.5875,39.367,39.8852,40.6151,39.6363,RaceHorses,intra,4x4-1-8x8-SAD,27
2934.2625,39.3662,39.8631,40.6126,39.6317,RaceHorses,intra,8x8-3,27
2937.915,39.3724,39.8761,40.6131,39.6385,RaceHorses,intra,4x4-1-8x8-2.cpp,27
,,,,,RaceHorses,intra,4x4-3-8x8-1.cpp,27
2937.915,39.3724,39.8761,40.6131,39.6385,RaceHorses,intra,8x8-5,27
2935.7325,39.3735,39.8504,40.6379,39.6383,RaceHorses,intra,4x4-3.cpp,27
1692.0975,35.3641,37.3439,37.6603,35.9645,RaceHorses,intra,8x8-4,32
1694.28,35.3655,37.3307,37.6492,35.9625,RaceHorses,intra,4x4-1-8x8-SAD,32
1694.5875,35.3738,37.3111,37.649,35.9665,RaceHorses,intra,8x8-4,32
1692.615,35.3645,37.3232,37.6915,35.9655,RaceHorses,intra,8x8-3,32
1695.0675,35.3596,37.274,37.6619,35.9525,RaceHorses,intra,8x8-5,32
1694.5875,35.3738,37.3111,37.649,35.9665,RaceHorses,intra,4x4-1-8x8-1.cpp,32
1694.5875,35.3738,37.3111,37.649,35.9665,RaceHorses,intra,4x4-1-8x8-2.cpp,32
1691.7375,35.3719,37.2993,37.6708,35.9661,RaceHorses,intra,8x8-2,32
,,,,,RaceHorses,intra,4x4-3-8x8-1.cpp,32
1691.6925,35.3656,37.2953,37.651,35.9586,RaceHorses,intra,8x8-SAD,32
1694.5875,35.3738,37.3111,37.649,35.9665,RaceHorses,intra,8x8-5,32
1691.0025,35.367,37.3093,37.6688,35.9633,RaceHorses,intra,8x8-1,32
1694.5875,35.3738,37.3111,37.649,35.9665,RaceHorses,intra,4x4-1-8x8-3.cpp,32
1691.28,35.3576,37.2848,37.6505,35.9511,RaceHorses,intra,4x4-3-8x8-SAD.cpp,32
1693.365,35.3686,37.3209,37.6983,35.9693,RaceHorses,intra,4x4-3.cpp,32
900.87,31.7148,35.7241,35.8039,32.6929,RaceHorses,intra,8x8-5,37
897.0975,31.7168,35.713,35.7656,32.6901,RaceHorses,intra,4x4-1-8x8-SAD,37
,,,,,RaceHorses,intra,4x4-3-8x8-1.cpp,37
898.515,31.7193,35.7349,35.8033,32.6978,RaceHorses,intra,4x4-1-8x8-3.cpp,37
898.1325,31.7146,35.7136,35.8198,32.6932,RaceHorses,intra,8x8-4,37
898.515,31.7193,35.7349,35.8033,32.6978,RaceHorses,intra,4x4-1-8x8-2.cpp,37
898.515,31.7193,35.7349,35.8033,32.6978,RaceHorses,intra,8x8-4,37
898.095,31.729,35.7462,35.7629,32.703,RaceHorses,intra,4x4-3.cpp,37
898.515,31.7193,35.7349,35.8033,32.6978,RaceHorses,intra,4x4-1-8x8-1.cpp,37
898.245,31.7268,35.7309,35.7853,32.7019,RaceHorses,intra,8x8-2,37
898.515,31.7193,35.7349,35.8033,32.6978,RaceHorses,intra,8x8-5,37
898.305,31.7168,35.7387,35.7985,32.6954,RaceHorses,intra,8x8-SAD,37
899.595,31.7278,35.74,35.7878,32.7038,RaceHorses,intra,8x8-3,37
898.17,31.7168,35.6976,35.791,32.6911,RaceHorses,intra,4x4-3-8x8-SAD.cpp,37
896.8725,31.7194,35.6908,35.79,32.6928,RaceHorses,intra,8x8-1,37
