bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
27411.87,48.2948,49.8245,50.9467,48.8494,RitualDance,intra,4x4-1-8x8-3.cpp,22
27411.87,48.2948,49.8245,50.9467,48.8494,RitualDance,intra,8x8-5,22
27425.325,48.2966,49.8244,50.9387,48.8499,RitualDance,intra,8x8-SAD,22
27390.0,48.2972,49.8332,50.9456,48.8522,RitualDance,intra,4x4-3.cpp,22
27392.475,48.2965,49.8226,50.9486,48.8509,RitualDance,intra,8x8-2,22
27411.87,48.2948,49.8245,50.9467,48.8494,RitualDance,intra,4x4-1-8x8-1.cpp,22
27411.87,48.2948,49.8245,50.9467,48.8494,RitualDance,intra,8x8-4,22
27414.33,48.2948,49.8276,50.9473,48.8501,RitualDance,intra,8x8-4,22
27411.87,48.2948,49.8245,50.9467,48.8494,RitualDance,intra,4x4-1-8x8-2.cpp,22
27423.525,48.2946,49.8264,50.9402,48.8489,RitualDance,intra,4x4-1-8x8-SAD,22
27438.135,48.2944,49.826,50.9495,48.8498,RitualDance,intra,4x4-3-8x8-SAD.cpp,22
27470.325,48.2914,49.8362,50.9376,48.8474,RitualDance,intra,8x8-5,22
27402.36,48.2964,49.8297,50.9516,48.8519,RitualDance,intra,8x8-1,22
,,,,,RitualDance,intra,4x4-3-8x8-1.cpp,22
27411.87,48.2948,49.8245,50.9467,48.8494,RitualDance,intra,4x4-2-8x8-4.cpp,22
27402.72,48.2952,49.826,50.9465,48.8499,RitualDance,intra,8x8-3,22
16384.83,45.883,47.3336,47.94,46.3542,RitualDance,intra,4x4-3-8x8-SAD.cpp,27
16380.285,45.8858,47.3379,47.9372,46.357,RitualDance,intra,8x8-4,27
16386.57,45.8892,47.3262,47.9473,46.3585,RitualDance,intra,8x8-4,27
16385.565,45.8913,47.3231,47.9538,46.3605,RitualDance,intra,8x8-3,27
16386.57,45.8892,47.3262,47.9473,46.3585,RitualDance,intra,4x4-1-8x8-1.cpp,27
16419.945,45.8811,47.3181,47.9422,46.3514,RitualDance,intra,8x8-5,27
16375.455,45.891,47.3287,47.9524,46.361,RitualDance,intra,8x8-2,27
16395.15,45.8886,47.3294,47.9362,46.3577,RitualDance,intra,8x8-SAD,27
16386.57,45.8892,47.3262,47.9473,46.3585,RitualDance,intra,4x4-1-8x8-3.cpp,27
16382.34,45.8927,47.3376,47.9599,46.3645,RitualDance,intra,8x8-1,27
16386.57,45.8892,47.3262,47.9473,46.3585,RitualDance,intra,8x8-5,27
,,,,,RitualDance,intra,4x4-3-8x8-1.cpp,27
16389.345,45.8886,47.3166,47.9349,46.3557,RitualDance,intra,4x4-1-8x8-SAD,27
16386.57,45.8892,47.3262,47.9473,46.3585,RitualDance,intra,4x4-2-8x8-4.cpp,27
16374.69,45.8918,47.3198,47.9466,46.3598,RitualDance,intra,4x4-3.cpp,27
16386.57,45.8892,47.3262,47.9473,46.3585,RitualDance,intra,4x4-1-8x8-2.cpp,27
9767.025,43.0586,45.296,45.3346,43.6455,RitualDance,intra,8x8-5,32
9747.21,43.0632,45.3067,45.3272,43.6496,RitualDance,intra,4x4-3-8x8-SAD.cpp,32
9744.99,43.0662,45.3019,45.3267,43.6518,RitualDance,intra,4x4-1-8x8-SAD,32
9736.665,43.0623,45.2723,45.3301,43.6448,RitualDance,intra,8x8-4,32
