bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
4190.595,40.1234,43.1386,44.5591,40.9936,BQMall,lowdelay,8x8-3,22
4191.81,40.1258,43.1366,44.6042,40.9988,BQMall,lowdelay,8x8-1,22
4199.61,40.1206,43.1212,44.592,40.9913,BQMall,lowdelay,4x4-1-8x8-3.cpp,22
,,,,,BQMall,lowdelay,4x4-3-8x8-1.cpp,22
4192.065,40.1192,43.1481,44.5756,40.9919,BQMall,lowdelay,4x4-1-8x8-SAD,22
4212.84,40.116,43.1376,44.5696,40.9882,BQMall,lowdelay,8x8-5,22
4196.19,40.1194,43.1393,44.5909,40.9923,BQMall,lowdelay,4x4-3-8x8-SAD.cpp,22
4192.95,40.1255,43.152,44.5854,40.9986,BQMall,lowdelay,8x8-SAD,22
4199.61,40.1206,43.1212,44.592,40.9913,BQMall,lowdelay,8x8-5,22
4199.61,40.1206,43.1212,44.592,40.9913,BQMall,lowdelay,4x4-1-8x8-2.cpp,22
4192.53,40.1162,43.136,44.6193,40.9916,BQMall,lowdelay,8x8-4,22
4185.075,40.1246,43.1319,44.5988,40.9962,BQMall,lowdelay,8x8-2,22
4199.61,40.1206,43.1212,44.592,40.9913,BQMall,lowdelay,8x8-4,22
4199.61,40.1206,43.1212,44.592,40.9913,BQMall,lowdelay,4x4-1-8x8-1.cpp,22
4183.905,40.1292,43.146,44.5863,41.0015,BQMall,lowdelay,4x4-3.cpp,22
1836.645,37.167,41.3038,42.2383,38.1649,BQMall,lowdelay,8x8-2,27
,,,,,BQMall,lowdelay,4x4-3-8x8-1.cpp,27
1838.145,37.1741,41.2428,42.2178,38.1653,BQMall,lowdelay,4x4-1-8x8-3.cpp,27
1840.665,37.1678,41.253,42.2246,38.1613,BQMall,lowdelay,8x8-4,27
1840.32,37.1793,41.2495,42.2412,38.1713,BQMall,lowdelay,4x4-3-8x8-SAD.cpp,27
1847.73,37.1555,41.2728,42.2073,38.1503,BQMall,lowdelay,8x8-5,27
1838.145,37.1741,41.2428,42.2178,38.1653,BQMall,lowdelay,4x4-1-8x8-1.cpp,27
1838.145,37.1741,41.2428,42.2178,38.1653,BQMall,lowdelay,8x8-4,27
1838.1,37.1901,41.2932,42.2839,38.1877,BQMall,lowdelay,8x8-SAD,27
1833.945,37.1711,41.2453,42.2061,38.1613,BQMall,lowdelay,8x8-1,27
1829.985,37.1733,41.2573,42.2222,38.1655,BQMall,lowdelay,4x4-1-8x8-SAD,27
1838.145,37.1741,41.2428,42.2178,38.1653,BQMall,lowdelay,4x4-1-8x8-2.cpp,27
1838.145,37.1741,41.2428,42.2178,38.1653,BQMall,lowdelay,8x8-5,27
1840.38,37.1719,41.2737,42.2296,38.1659,BQMall,lowdelay,8x8-3,27
1834.77,37.1885,41.2972,42.2561,38.1853,BQMall,lowdelay,4x4-3.cpp,27
930.09,34.2716,39.4582,40.0787,35.3869,BQMall,lowdelay,8x8-1,32
,,,,,BQMall,lowdelay,4x4-3-8x8-1.cpp,32
924.0,34.2489,39.4469,40.1048,35.368,BQMall,lowdelay,4x4-1-8x8-SAD,32
931.245,34.2406,39.4469,40.0581,35.3558,BQMall,lowdelay,8x8-5,32
928.41,34.2471,39.45,40.0578,35.3646,BQMall,lowdelay,4x4-3-8x8-SAD.cpp,32
927.045,34.2345,39.4614,40.1856,35.3596,BQMall,lowdelay,4x4-1-8x8-2.cpp,32
929.49,34.2545,39.406,40.0675,35.3672,BQMall,lowdelay,8x8-4,32
927.045,34.2345,39.4614,40.1856,35.3596,BQMall,lowdelay,8x8-4,32
927.045,34.2345,39.4614,40.1856,35.3596,BQMall,lowdelay,4x4-1-8x8-3.cpp,32
927.09,34.2509,39.3901,40.0399,35.3607,BQMall,lowdelay,8x8-SAD,32
928.41,34.2584,39.4267,40.0718,35.3722,BQMall,lowdelay,8x8-3,32
927.045,34.2345,39.4614,40.1856,35.3596,BQMall,lowdelay,8x8-5,32
925.275,34.2479,39.458,40.1224,35.3692,BQMall,lowdelay,8x8-2,32
927.345,34.2583,39.4361,40.1122,35.3765,BQMall,lowdelay,4x4-3.cpp,32
927.045,34.2345,39.4614,40.1856,35.3596,BQMall,lowdelay,4x4-1-8x8-1.cpp,32
493.365,31.415,37.8532,38.3184,32.6724,BQMall,lowdelay,4x4-1-8x8-2.cpp,37
490.005,31.38,37.9275,38.3359,32.6455,BQMall,lowdelay,8x8-4,37
493.365,31.415,37.8532,38.3184,32.6724,BQMall,lowdelay,8x8-5,37
489.9,31.4019,37.7979,38.2446,32.6529,BQMall,lowdelay,8x8-SAD,37
488.73,31.4001,37.8163,38.4774,32.6647,BQMall,lowdelay,4x4-1-8x8-SAD,37
493.365,31.415,37.8532,38.3184,32.6724,BQMall,lowdelay,4x4-1-8x8-1.cpp,37
490.245,31.42,37.8284,38.262,32.6739,BQMall,lowdelay,4x4-3-8x8-SAD.cpp,37
491.07,31.413,37.818,38.3394,32.6692,BQMall,lowdelay,8x8-1,37
489.87,31.4132,37.7734,38.2321,32.6623,BQMall,lowdelay,8x8-3,37
494.34,31.4069,37.8368,38.2652,32.6602,BQMall,lowdelay,8x8-5,37
,,,,,BQMall,lowdelay,4x4-3-8x8-1.cpp,37
493.365,31.415,37.8532,38.3184,32.6724,BQMall,lowdelay,8x8-4,37
493.365,31.415,37.8532,38.3184,32.6724,BQMall,lowdelay,4x4-1-8x8-3.cpp,37
491.85,31.4055,37.9071,38.3064,32.6658,BQMall,lowdelay,8x8-2,37
488.88,31.4109,37.7688,38.2844,32.6639,BQMall,lowdelay,4x4-3.cpp,37
