bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
12585.425,40.2817,45.0058,46.5193,41.4273,BasketballDrive,lowdelay,8x8-4,22
12551.3875,40.283,45.0134,46.5434,41.4304,BasketballDrive,lowdelay,8x8-2,22
,,,,,BasketballDrive,lowdelay,4x4-3-8x8-1.cpp,22
12546.1,40.2846,45.0149,46.5437,41.4316,BasketballDrive,lowdelay,4x4-3.cpp,22
12572.4625,40.2836,45.0137,46.5265,41.4301,BasketballDrive,lowdelay,4x4-1-8x8-SAD,22
12569.075,40.2819,45.0135,46.5518,41.4297,BasketballDrive,lowdelay,8x8-SAD,22
12563.8625,40.2825,45.0174,46.5368,41.4297,BasketballDrive,lowdelay,8x8-1,22
12565.825,40.2813,45.0051,46.5313,41.4277,BasketballDrive,lowdelay,4x4-1-8x8-1.cpp,22
12586.6625,40.2785,45.023,46.545,41.4276,BasketballDrive,lowdelay,8x8-5,22
12565.825,40.2813,45.0051,46.5313,41.4277,BasketballDrive,lowdelay,4x4-2-8x8-4.cpp,22
12565.825,40.2813,45.0051,46.5313,41.4277,BasketballDrive,lowdelay,8x8-5,22
12565.825,40.2813,45.0051,46.5313,41.4277,BasketballDrive,lowdelay,4x4-1-8x8-2.cpp,22
12565.825,40.2813,45.0051,46.5313,41.4277,BasketballDrive,lowdelay,4x4-1-8x8-3.cpp,22
12556.9375,40.2823,45.0012,46.5309,41.4282,BasketballDrive,lowdelay,4x4-3-8x8-SAD.cpp,22
12556.5375,40.283,45.01,46.5264,41.4293,BasketballDrive,lowdelay,8x8-3,22
12565.825,40.2813,45.0051,46.5313,41.4277,BasketballDrive,lowdelay,8x8-4,22
3878.8125,38.8165,43.6413,44.2649,39.9352,BasketballDrive,lowdelay,4x4-1-8x8-3.cpp,27
3878.8125,38.8165,43.6413,44.2649,39.9352,BasketballDrive,lowdelay,4x4-1-8x8-1.cpp,27
3869.3375,38.814,43.6447,44.2827,39.9345,BasketballDrive,lowdelay,8x8-SAD,27
3869.25,38.8171,43.6469,44.2644,39.9364,BasketballDrive,lowdelay,8x8-3,27
3878.8125,38.8165,43.6413,44.2649,39.9352,BasketballDrive,lowdelay,8x8-4,27
3869.0,38.8212,43.6587,44.2735,39.9413,BasketballDrive,lowdelay,8x8-1,27
3878.8125,38.8165,43.6413,44.2649,39.9352,BasketballDrive,lowdelay,8x8-5,27
3862.725,38.825,43.6659,44.2804,39.9458,BasketballDrive,lowdelay,4x4-3.cpp,27
3874.8875,38.8111,43.6482,44.2776,39.9318,BasketballDrive,lowdelay,8x8-4,27
3878.8125,38.8165,43.6413,44.2649,39.9352,BasketballDrive,lowdelay,4x4-1-8x8-2.cpp,27
3864.9875,38.814,43.6467,44.2688,39.9338,BasketballDrive,lowdelay,4x4-3-8x8-SAD.cpp,27
3890.3875,38.8109,43.6459,44.251,39.9297,BasketballDrive,lowdelay,8x8-5,27
3874.6875,38.8146,43.6605,44.2565,39.9346,BasketballDrive,lowdelay,4x4-1-8x8-SAD,27
,,,,,BasketballDrive,lowdelay,4x4-3-8x8-1.cpp,27
3874.2,38.8156,43.6545,44.2859,39.9368,BasketballDrive,lowdelay,8x8-2,27
1859.95,37.2448,42.4217,42.4665,38.3581,BasketballDrive,lowdelay,4x4-3-8x8-SAD.cpp,32
1864.2625,37.2397,42.3407,42.4241,38.3456,BasketballDrive,lowdelay,8x8-4,32
1864.2625,37.2397,42.3407,42.4241,38.3456,BasketballDrive,lowdelay,4x4-1-8x8-1.cpp,32
1866.725,37.2302,42.403,42.4547,38.3433,BasketballDrive,lowdelay,8x8-5,32
1855.95,37.2501,42.3845,42.4479,38.3592,BasketballDrive,lowdelay,8x8-1,32
1861.0,37.2435,42.3902,42.4763,38.3559,BasketballDrive,lowdelay,8x8-2,32
1863.35,37.2359,42.3853,42.4567,38.3474,BasketballDrive,lowdelay,8x8-4,32
,,,,,BasketballDrive,lowdelay,4x4-3-8x8-1.cpp,32
1858.4875,37.2441,42.3928,42.4484,38.3546,BasketballDrive,lowdelay,8x8-SAD,32
1864.2625,37.2397,42.3407,42.4241,38.3456,BasketballDrive,lowdelay,4x4-1-8x8-3.cpp,32
1859.0375,37.241,42.3781,42.4346,38.3498,BasketballDrive,lowdelay,8x8-3,32
1860.05,37.2444,42.3986,42.4462,38.3548,BasketballDrive,lowdelay,4x4-1-8x8-SAD,32
1864.2625,37.2397,42.3407,42.4241,38.3456,BasketballDrive,lowdelay,8x8-5,32
1857.575,37.2581,42.3881,42.4676,38.3679,BasketballDrive,lowdelay,4x4-3.cpp,32
1864.2625,37.2397,42.3407,42.4241,38.3456,BasketballDrive,lowdelay,4x4-2-8x8-4.cpp,32
1864.2625,37.2397,42.3407,42.4241,38.3456,BasketballDrive,lowdelay,4x4-1-8x8-2.cpp,32
992.0375,35.4264,40.9754,40.6306,36.5448,BasketballDrive,lowdelay,8x8-1,37
,,,,,BasketballDrive,lowdelay,4x4-3-8x8-1.cpp,37
993.6375,35.4322,41.0228,40.58,36.5483,BasketballDrive,lowdelay,4x4-1-8x8-SAD,37
997.625,35.4134,40.9928,40.5434,36.527,BasketballDrive,lowdelay,8x8-5,37
989.375,35.4163,41.0078,40.5909,36.5333,BasketballDrive,lowdelay,4x4-2-8x8-4.cpp,37
991.825,35.4369,41.0566,40.6194,36.5579,BasketballDrive,lowdelay,4x4-3.cpp,37
992.2,35.4126,41.0203,40.5718,36.5296,BasketballDrive,lowdelay,4x4-3-8x8-SAD.cpp,37
987.725,35.4226,41.0021,40.6007,36.5408,BasketballDrive,lowdelay,8x8-2,37
991.0625,35.4174,41.0432,40.5735,36.5371,BasketballDrive,lowdelay,8x8-4,37
989.375,35.4163,41.0078,40.5909,36.5333,BasketballDrive,lowdelay,8x8-5,37
989.375,35.4163,41.0078,40.5909,36.5333,BasketballDrive,lowdelay,8x8-4,37
994.0375,35.4252,40.9663,40.5596,36.5378,BasketballDrive,lowdelay,8x8-3,37
989.375,35.4163,41.0078,40.5909,36.5333,BasketballDrive,lowdelay,4x4-1-8x8-3.cpp,37
989.375,35.4163,41.0078,40.5909,36.5333,BasketballDrive,lowdelay,4x4-1-8x8-1.cpp,37
989.375,35.4163,41.0078,40.5909,36.5333,BasketballDrive,lowdelay,4x4-1-8x8-2.cpp,37
991.85,35.4151,41.0243,40.5531,36.5317,BasketballDrive,lowdelay,8x8-SAD,37
