bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
,,,,,BasketballPass,lowdelay,4x4-3-8x8-1.cpp,22
769.2125,42.2074,44.7412,44.5547,42.845,BasketballPass,lowdelay,8x8-1,22
771.5125,42.211,44.7089,44.4895,42.8371,BasketballPass,lowdelay,8x8-SAD,22
774.9625,42.2198,44.7446,44.538,42.8524,BasketballPass,lowdelay,8x8-5,22
773.275,42.2283,44.6808,44.4471,42.8422,BasketballPass,lowdelay,4x4-3.cpp,22
768.8125,42.1957,44.8036,44.5148,42.8383,BasketballPass,lowdelay,8x8-2,22
774.9625,42.2198,44.7446,44.538,42.8524,BasketballPass,lowdelay,4x4-1-8x8-3.cpp,22
774.9625,42.2198,44.7446,44.538,42.8524,BasketballPass,lowdelay,8x8-4,22
774.9625,42.2198,44.7446,44.538,42.8524,BasketballPass,lowdelay,4x4-1-8x8-2.cpp,22
774.9625,42.2198,44.7446,44.538,42.8524,BasketballPass,lowdelay,4x4-1-8x8-1.cpp,22
774.2875,42.2159,44.747,44.5307,42.8493,BasketballPass,lowdelay,8x8-4,22
772.35,42.2223,44.7,44.5244,42.8485,BasketballPass,lowdelay,4x4-1-8x8-SAD,22
772.0875,42.2175,44.7591,44.5336,42.8525,BasketballPass,lowdelay,4x4-3-8x8-SAD.cpp,22
779.4,42.193,44.7611,44.5518,42.8357,BasketballPass,lowdelay,8x8-5,22
772.8375,42.2119,44.8151,44.5825,42.859,BasketballPass,lowdelay,8x8-3,22
361.575,38.2144,42.2174,41.3767,39.0472,BasketballPass,lowdelay,8x8-4,27
359.8125,38.205,42.1991,41.4109,39.0399,BasketballPass,lowdelay,4x4-1-8x8-1.cpp,27
361.7125,38.2319,42.2611,41.2922,39.0558,BasketballPass,lowdelay,4x4-3-8x8-SAD.cpp,27
360.125,38.2137,42.0921,41.3703,39.036,BasketballPass,lowdelay,8x8-2,27
363.525,38.218,42.1324,41.4846,39.0524,BasketballPass,lowdelay,8x8-5,27
358.825,38.1958,42.2884,41.4277,39.043,BasketballPass,lowdelay,8x8-SAD,27
359.8125,38.205,42.1991,41.4109,39.0399,BasketballPass,lowdelay,4x4-1-8x8-3.cpp,27
359.8125,38.205,42.1991,41.4109,39.0399,BasketballPass,lowdelay,8x8-4,27
359.1,38.2183,42.244,41.388,39.0546,BasketballPass,lowdelay,8x8-1,27
361.0375,38.183,42.1798,41.3174,39.0129,BasketballPass,lowdelay,8x8-3,27
,,,,,BasketballPass,lowdelay,4x4-3-8x8-1.cpp,27
359.8125,38.205,42.1991,41.4109,39.0399,BasketballPass,lowdelay,8x8-5,27
358.6625,38.1993,42.1626,41.4087,39.0343,BasketballPass,lowdelay,4x4-3.cpp,27
359.1,38.2147,42.2548,41.4254,39.0551,BasketballPass,lowdelay,4x4-1-8x8-SAD,27
359.8125,38.205,42.1991,41.4109,39.0399,BasketballPass,lowdelay,4x4-1-8x8-2.cpp,27
179.7,34.8014,39.8759,38.9553,35.7978,BasketballPass,lowdelay,8x8-4,32
180.2875,34.8385,39.8896,38.8853,35.8264,BasketballPass,lowdelay,8x8-1,32
180.775,34.7561,39.8139,39.0096,35.7608,BasketballPass,lowdelay,8x8-5,32
,,,,,BasketballPass,lowdelay,4x4-3-8x8-1.cpp,32
179.3375,34.8212,39.8502,38.9841,35.8176,BasketballPass,lowdelay,4x4-3-8x8-SAD.cpp,32
180.25,34.7847,39.844,38.9883,35.7817,BasketballPass,lowdelay,8x8-4,32
178.8125,34.8148,39.9749,39.082,35.8263,BasketballPass,lowdelay,4x4-1-8x8-SAD,32
179.6875,34.832,39.6671,38.8268,35.8014,BasketballPass,lowdelay,8x8-3,32
179.7,34.8014,39.8759,38.9553,35.7978,BasketballPass,lowdelay,4x4-1-8x8-2.cpp,32
179.5375,34.8011,39.8778,38.9663,35.8007,BasketballPass,lowdelay,8x8-SAD,32
179.7,34.8014,39.8759,38.9553,35.7978,BasketballPass,lowdelay,4x4-1-8x8-1.cpp,32
179.6625,34.8389,39.8295,39.0392,35.833,BasketballPass,lowdelay,8x8-2,32
179.7,34.8014,39.8759,38.9553,35.7978,BasketballPass,lowdelay,4x4-1-8x8-3.cpp,32
179.7,34.8014,39.8759,38.9553,35.7978,BasketballPass,lowdelay,8x8-5,32
179.425,34.8066,39.9721,39.0101,35.8145,BasketballPass,lowdelay,4x4-3.cpp,32
92.95,31.9369,38.1255,37.196,33.0918,BasketballPass,lowdelay,8x8-3,37
93.1625,31.9537,38.1861,37.2309,33.1133,BasketballPass,lowdelay,8x8-1,37
93.6125,31.9655,38.2296,37.2424,33.1267,BasketballPass,lowdelay,8x8-5,37
94.075,31.954,38.3212,37.2075,33.1139,BasketballPass,lowdelay,8x8-5,37
92.375,31.9497,38.3956,37.3297,33.1268,BasketballPass,lowdelay,4x4-3-8x8-SAD.cpp,37
93.175,31.9625,38.3734,37.3269,33.1366,BasketballPass,lowdelay,8x8-SAD,37
94.075,31.954,38.3212,37.2075,33.1139,BasketballPass,lowdelay,4x4-1-8x8-1.cpp,37
92.5,31.94,38.0466,37.2692,33.0964,BasketballPass,lowdelay,4x4-1-8x8-SAD,37
92.6875,31.9384,38.0857,37.1689,33.0901,BasketballPass,lowdelay,8x8-4,37
93.3375,31.9986,38.3399,37.2028,33.1576,BasketballPass,lowdelay,8x8-2,37
94.075,31.954,38.3212,37.2075,33.1139,BasketballPass,lowdelay,4x4-1-8x8-2.cpp,37
94.075,31.954,38.3212,37.2075,33.1139,BasketballPass,lowdelay,8x8-4,37
93.7375,31.9677,38.2734,37.1606,33.1273,BasketballPass,lowdelay,4x4-3.cpp,37
,,,,,BasketballPass,lowdelay,4x4-3-8x8-1.cpp,37
94.075,31.954,38.3212,37.2075,33.1139,BasketballPass,lowdelay,4x4-1-8x8-3.cpp,37
