bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
,,,,,FoodMarket4,lowdelay,4x4-3-8x8-1.cpp,22
,,,,,FoodMarket4,lowdelay,8x8-5,22
,,,,,FoodMarket4,lowdelay,4x4-3-8x8-SAD.cpp,22
,,,,,FoodMarket4,lowdelay,8x8-4,22
,,,,,FoodMarket4,lowdelay,8x8-4,22
11371.8,45.433,50.286,51.4721,46.6053,FoodMarket4,lowdelay,4x4-1-8x8-1.cpp,22
,,,,,FoodMarket4,lowdelay,8x8-2,22
11371.8,45.433,50.286,51.4721,46.6053,FoodMarket4,lowdelay,4x4-1-8x8-3.cpp,22
,,,,,FoodMarket4,lowdelay,8x8-3,22
,,,,,FoodMarket4,lowdelay,8x8-5,22
,,,,,FoodMarket4,lowdelay,4x4-3.cpp,22
,,,,,FoodMarket4,lowdelay,8x8-SAD,22
,,,,,FoodMarket4,lowdelay,8x8-1,22
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-2.cpp,22
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-SAD,22
,,,,,FoodMarket4,lowdelay,8x8-1,27
,,,,,FoodMarket4,lowdelay,8x8-5,27
,,,,,FoodMarket4,lowdelay,4x4-3-8x8-SAD.cpp,27
,,,,,FoodMarket4,lowdelay,4x4-3-8x8-1.cpp,27
,,,,,FoodMarket4,lowdelay,8x8-4,27
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-SAD,27
,,,,,FoodMarket4,lowdelay,8x8-4,27
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-1.cpp,27
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-2.cpp,27
,,,,,FoodMarket4,lowdelay,8x8-2,27
,,,,,FoodMarket4,lowdelay,8x8-SAD,27
,,,,,FoodMarket4,lowdelay,4x4-3.cpp,27
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-3.cpp,27
,,,,,FoodMarket4,lowdelay,8x8-5,27
,,,,,FoodMarket4,lowdelay,8x8-3,27
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-3.cpp,32
,,,,,FoodMarket4,lowdelay,8x8-1,32
,,,,,FoodMarket4,lowdelay,8x8-5,32
,,,,,FoodMarket4,lowdelay,4x4-3.cpp,32
,,,,,FoodMarket4,lowdelay,8x8-5,32
,,,,,FoodMarket4,lowdelay,4x4-3-8x8-SAD.cpp,32
,,,,,FoodMarket4,lowdelay,4x4-3-8x8-1.cpp,32
,,,,,FoodMarket4,lowdelay,8x8-4,32
,,,,,FoodMarket4,lowdelay,8x8-3,32
,,,,,FoodMarket4,lowdelay,8x8-4,32
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-SAD,32
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-1.cpp,32
,,,,,FoodMarket4,lowdelay,8x8-SAD,32
,,,,,FoodMarket4,lowdelay,8x8-2,32
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-2.cpp,32
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-2.cpp,37
,,,,,FoodMarket4,lowdelay,8x8-5,37
,,,,,FoodMarket4,lowdelay,8x8-1,37
,,,,,FoodMarket4,lowdelay,8x8-SAD,37
,,,,,FoodMarket4,lowdelay,4x4-3-8x8-1.cpp,37
,,,,,FoodMarket4,lowdelay,4x4-3.cpp,37
,,,,,FoodMarket4,lowdelay,8x8-4,37
,,,,,FoodMarket4,lowdelay,4x4-3-8x8-SAD.cpp,37
,,,,,FoodMarket4,lowdelay,8x8-5,37
,,,,,FoodMarket4,lowdelay,8x8-4,37
,,,,,FoodMarket4,lowdelay,8x8-3,37
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-3.cpp,37
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-1.cpp,37
,,,,,FoodMarket4,lowdelay,8x8-2,37
,,,,,FoodMarket4,lowdelay,4x4-1-8x8-SAD,37
