bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
1303.155,39.5032,40.8954,41.4195,39.8857,RaceHorses,lowdelay,8x8-4,22
1300.8675,39.5207,40.9442,41.4135,39.9043,RaceHorses,lowdelay,4x4-3.cpp,22
1302.945,39.5175,40.9475,41.4551,39.9068,RaceHorses,lowdelay,4x4-3-8x8-SAD.cpp,22
1314.615,39.4954,40.9153,41.4433,39.8839,RaceHorses,lowdelay,8x8-5,22
1301.8275,39.4999,40.9326,41.4239,39.8876,RaceHorses,lowdelay,8x8-3,22
1303.6275,39.4915,40.8966,41.4378,39.878,RaceHorses,lowdelay,4x4-1-8x8-2.cpp,22
1299.5325,39.5029,40.9434,41.4196,39.891,RaceHorses,lowdelay,8x8-2,22
1303.6275,39.4915,40.8966,41.4378,39.878,RaceHorses,lowdelay,4x4-1-8x8-1.cpp,22
1303.6275,39.4915,40.8966,41.4378,39.878,RaceHorses,lowdelay,8x8-5,22
1303.6275,39.4915,40.8966,41.4378,39.878,RaceHorses,lowdelay,8x8-4,22
1298.7975,39.5083,40.9474,41.4898,39.9055,RaceHorses,lowdelay,8x8-1,22
,,,,,RaceHorses,lowdelay,4x4-3-8x8-1.cpp,22
1303.6275,39.4915,40.8966,41.4378,39.878,RaceHorses,lowdelay,4x4-1-8x8-3.cpp,22
1300.5525,39.5045,40.9601,41.4263,39.8955,RaceHorses,lowdelay,4x4-1-8x8-SAD,22
1299.855,39.5002,40.9231,41.4232,39.8866,RaceHorses,lowdelay,8x8-SAD,22
588.15,34.9683,37.8409,38.2373,35.6254,RaceHorses,lowdelay,4x4-1-8x8-3.cpp,27
587.805,34.9759,37.8461,38.2768,35.637,RaceHorses,lowdelay,8x8-SAD,27
,,,,,RaceHorses,lowdelay,4x4-3-8x8-1.cpp,27
585.8325,34.9818,37.8258,38.3091,35.6423,RaceHorses,lowdelay,4x4-3-8x8-SAD.cpp,27
588.15,34.9683,37.8409,38.2373,35.6254,RaceHorses,lowdelay,8x8-4,27
587.2575,34.9655,37.9116,38.2233,35.6324,RaceHorses,lowdelay,8x8-4,27
588.15,34.9683,37.8409,38.2373,35.6254,RaceHorses,lowdelay,4x4-1-8x8-1.cpp,27
586.14,35.0035,37.8789,38.2139,35.6556,RaceHorses,lowdelay,8x8-2,27
585.1725,34.9868,37.8703,38.2363,35.6438,RaceHorses,lowdelay,8x8-3,27
586.1475,34.9844,37.9091,38.2529,35.648,RaceHorses,lowdelay,4x4-1-8x8-SAD,27
586.1925,35.0068,37.9448,38.2605,35.6707,RaceHorses,lowdelay,8x8-1,27
588.15,34.9683,37.8409,38.2373,35.6254,RaceHorses,lowdelay,4x4-1-8x8-2.cpp,27
588.15,34.9683,37.8409,38.2373,35.6254,RaceHorses,lowdelay,8x8-5,27
586.71,34.9998,37.8863,38.2332,35.6558,RaceHorses,lowdelay,4x4-3.cpp,27
590.6325,34.9569,37.8716,38.2103,35.6182,RaceHorses,lowdelay,8x8-5,27
278.325,31.4096,35.9282,35.9608,32.3351,RaceHorses,lowdelay,4x4-1-8x8-3.cpp,32
,,,,,RaceHorses,lowdelay,4x4-3-8x8-1.cpp,32
278.325,31.4096,35.9282,35.9608,32.3351,RaceHorses,lowdelay,8x8-4,32
279.075,31.4588,35.8455,36.0204,32.3763,RaceHorses,lowdelay,4x4-1-8x8-SAD,32
280.23,31.4264,35.9956,36.0491,32.3608,RaceHorses,lowdelay,8x8-5,32
278.325,31.4096,35.9282,35.9608,32.3351,RaceHorses,lowdelay,4x4-1-8x8-1.cpp,32
278.325,31.4096,35.9282,35.9608,32.3351,RaceHorses,lowdelay,4x4-1-8x8-2.cpp,32
278.4525,31.4504,35.871,35.9464,32.3663,RaceHorses,lowdelay,4x4-3.cpp,32
278.475,31.4392,35.8485,36.0308,32.361,RaceHorses,lowdelay,8x8-SAD,32
279.135,31.4601,35.9643,35.9791,32.3822,RaceHorses,lowdelay,8x8-1,32
278.325,31.4096,35.9282,35.9608,32.3351,RaceHorses,lowdelay,8x8-5,32
277.9725,31.4498,35.8871,35.9834,32.3699,RaceHorses,lowdelay,4x4-3-8x8-SAD.cpp,32
277.4025,31.4362,35.8833,35.9577,32.3576,RaceHorses,lowdelay,8x8-3,32
278.805,31.4398,35.8358,36.0165,32.3611,RaceHorses,lowdelay,8x8-2,32
278.3175,31.4295,35.9214,35.9654,32.3529,RaceHorses,lowdelay,8x8-4,32
