bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
,,,,,RitualDance,lowdelay,4x4-3-8x8-1.cpp,22
9013.83,46.4674,48.3627,48.9969,47.0069,RitualDance,lowdelay,8x8-4,22
9013.83,46.4674,48.3627,48.9969,47.0069,RitualDance,lowdelay,4x4-1-8x8-1.cpp,22
8997.465,46.4748,48.3623,48.998,47.0121,RitualDance,lowdelay,8x8-2,22
9015.915,46.4645,48.3726,48.9779,47.0032,RitualDance,lowdelay,4x4-3-8x8-SAD.cpp,22
9034.23,46.4694,48.3699,48.9851,47.008,RitualDance,lowdelay,8x8-SAD,22
9013.83,46.4674,48.3627,48.9969,47.0069,RitualDance,lowdelay,4x4-1-8x8-3.cpp,22
9004.125,46.4671,48.3837,48.9816,47.0073,RitualDance,lowdelay,8x8-4,22
9013.83,46.4674,48.3627,48.9969,47.0069,RitualDance,lowdelay,8x8-5,22
8972.52,46.4808,48.3733,48.9892,47.0172,RitualDance,lowdelay,4x4-3.cpp,22
9013.83,46.4674,48.3627,48.9969,47.0069,RitualDance,lowdelay,4x4-1-8x8-2.cpp,22
9001.245,46.4704,48.3665,48.9911,47.0081,RitualDance,lowdelay,8x8-3,22
9050.295,46.4664,48.3557,48.9832,47.0025,RitualDance,lowdelay,8x8-5,22
8989.875,46.4782,48.3632,49.0107,47.0164,RitualDance,lowdelay,8x8-1,22
9013.83,46.4674,48.3627,48.9969,47.0069,RitualDance,lowdelay,4x4-2-8x8-4.cpp,22
9017.34,46.4742,48.3619,48.9987,47.0123,RitualDance,lowdelay,4x4-1-8x8-SAD,22
,,,,,RitualDance,lowdelay,4x4-3-8x8-1.cpp,27
4488.855,43.1283,45.8107,45.9891,43.729,RitualDance,lowdelay,8x8-4,27
4488.855,43.1283,45.8107,45.9891,43.729,RitualDance,lowdelay,4x4-1-8x8-1.cpp,27
4487.97,43.1411,45.8378,46.0106,43.744,RitualDance,lowdelay,8x8-2,27
4490.97,43.131,45.8223,45.9621,43.7293,RitualDance,lowdelay,8x8-SAD,27
4486.605,43.1326,45.8411,45.9624,43.7324,RitualDance,lowdelay,8x8-1,27
4491.855,43.1215,45.7947,45.9674,43.7215,RitualDance,lowdelay,4x4-3-8x8-SAD.cpp,27
4488.855,43.1283,45.8107,45.9891,43.729,RitualDance,lowdelay,4x4-2-8x8-4.cpp,27
4488.855,43.1283,45.8107,45.9891,43.729,RitualDance,lowdelay,4x4-1-8x8-3.cpp,27
4486.245,43.1262,45.8682,45.9671,43.73,RitualDance,lowdelay,4x4-1-8x8-SAD,27
4489.83,43.1245,45.8161,45.9676,43.7249,RitualDance,lowdelay,8x8-4,27
4470.345,43.1469,45.8279,45.9981,43.7475,RitualDance,lowdelay,4x4-3.cpp,27
4488.855,43.1283,45.8107,45.9891,43.729,RitualDance,lowdelay,4x4-1-8x8-2.cpp,27
4484.235,43.1301,45.8727,45.9614,43.7356,RitualDance,lowdelay,8x8-3,27
4506.285,43.112,45.824,45.9545,43.7141,RitualDance,lowdelay,8x8-5,27
4488.855,43.1283,45.8107,45.9891,43.729,RitualDance,lowdelay,8x8-5,27
2397.06,39.8651,44.1746,43.9863,40.6935,RitualDance,lowdelay,8x8-1,32
2400.255,39.8491,44.142,43.9216,40.6703,RitualDance,lowdelay,4x4-1-8x8-2.cpp,32
2400.255,39.8491,44.142,43.9216,40.6703,RitualDance,lowdelay,8x8-4,32
,,,,,RitualDance,lowdelay,4x4-3-8x8-1.cpp,32
2406.69,39.8479,44.1546,43.9884,40.6737,RitualDance,lowdelay,4x4-3-8x8-SAD.cpp,32
