bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
3258.855,40.1884,43.9437,45.5115,41.1798,BQMall,randomaccess,8x8-5,22
3251.655,40.1862,43.967,45.5144,41.1803,BQMall,randomaccess,8x8-1,22
3253.755,40.18,43.9621,45.5137,41.175,BQMall,randomaccess,8x8-SAD,22
3258.855,40.1884,43.9437,45.5115,41.1798,BQMall,randomaccess,4x4-1-8x8-3.cpp,22
3258.855,40.1884,43.9437,45.5115,41.1798,BQMall,randomaccess,8x8-4,22
3254.43,40.1851,43.977,45.5106,41.181,BQMall,randomaccess,8x8-4,22
3246.78,40.1812,43.9635,45.5218,41.1768,BQMall,randomaccess,8x8-3,22
3258.855,40.1884,43.9437,45.5115,41.1798,BQMall,randomaccess,4x4-1-8x8-1.cpp,22
3250.53,40.1874,43.9287,45.518,41.1791,BQMall,randomaccess,4x4-3.cpp,22
3254.205,40.1865,43.9491,45.5341,41.1811,BQMall,randomaccess,4x4-3-8x8-SAD.cpp,22
3258.855,40.1884,43.9437,45.5115,41.1798,BQMall,randomaccess,4x4-1-8x8-2.cpp,22
3256.635,40.189,43.951,45.5162,41.1818,BQMall,randomaccess,8x8-2,22
3273.075,40.1835,43.9417,45.4827,41.1738,BQMall,randomaccess,8x8-5,22
3254.955,40.1867,43.9553,45.5375,41.1821,BQMall,randomaccess,4x4-1-8x8-SAD,22
,,,,,BQMall,randomaccess,4x4-3-8x8-1.cpp,22
1634.925,37.7144,42.0623,43.1302,38.7192,BQMall,randomaccess,4x4-3-8x8-SAD.cpp,27
,,,,,BQMall,randomaccess,4x4-3-8x8-1.cpp,27
1636.62,37.7255,42.0605,43.1364,38.7303,BQMall,randomaccess,8x8-1,27
1631.385,37.6997,42.053,43.131,38.7053,BQMall,randomaccess,8x8-4,27
1631.385,37.6997,42.053,43.131,38.7053,BQMall,randomaccess,4x4-1-8x8-3.cpp,27
1642.2,37.6879,42.0832,43.1569,38.7001,BQMall,randomaccess,8x8-5,27
1631.88,37.6987,42.0555,43.0788,38.7035,BQMall,randomaccess,8x8-4,27
1629.495,37.7021,42.0571,43.1269,38.7091,BQMall,randomaccess,8x8-2,27
1634.565,37.7086,41.9983,43.1439,38.7089,BQMall,randomaccess,4x4-1-8x8-SAD,27
1631.385,37.6997,42.053,43.131,38.7053,BQMall,randomaccess,8x8-5,27
1634.64,37.7087,42.0519,43.1546,38.7162,BQMall,randomaccess,4x4-3.cpp,27
1631.385,37.6997,42.053,43.131,38.7053,BQMall,randomaccess,4x4-1-8x8-1.cpp,27
1631.385,37.6997,42.053,43.131,38.7053,BQMall,randomaccess,4x4-1-8x8-2.cpp,27
1632.21,37.7024,42.0737,43.1666,38.7115,BQMall,randomaccess,8x8-3,27
1636.245,37.7073,42.0327,43.0771,38.7093,BQMall,randomaccess,8x8-SAD,27
875.505,34.9665,40.1359,40.9494,36.0419,BQMall,randomaccess,4x4-1-8x8-1.cpp,32
875.505,34.9665,40.1359,40.9494,36.0419,BQMall,randomaccess,8x8-4,32
875.61,34.9611,40.1382,40.94,36.0382,BQMall,randomaccess,8x8-4,32
876.885,34.9377,40.1279,40.9454,36.0186,BQMall,randomaccess,8x8-5,32
874.8,34.9559,40.1298,40.9822,36.0323,BQMall,randomaccess,4x4-3-8x8-SAD.cpp,32
