bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
7519.45,39.8671,45.1338,46.7011,41.1004,BasketballDrive,randomaccess,8x8-2,22
7533.575,39.8689,45.1288,46.7034,41.1016,BasketballDrive,randomaccess,8x8-4,22
7531.4,39.8669,45.1288,46.7012,41.0999,BasketballDrive,randomaccess,8x8-4,22
7516.0375,39.8712,45.1249,46.7072,41.1037,BasketballDrive,randomaccess,4x4-3.cpp,22
7533.575,39.8689,45.1288,46.7034,41.1016,BasketballDrive,randomaccess,4x4-1-8x8-2.cpp,22
7536.025,39.8675,45.1199,46.714,41.1003,BasketballDrive,randomaccess,4x4-3-8x8-SAD.cpp,22
7539.3,39.8683,45.1273,46.705,41.1012,BasketballDrive,randomaccess,8x8-3,22
7533.575,39.8689,45.1288,46.7034,41.1016,BasketballDrive,randomaccess,4x4-1-8x8-3.cpp,22
7555.375,39.8647,45.1253,46.7096,41.0979,BasketballDrive,randomaccess,8x8-5,22
7516.775,39.8689,45.1254,46.71,41.1018,BasketballDrive,randomaccess,8x8-1,22
7543.875,39.8706,45.1268,46.7147,41.1037,BasketballDrive,randomaccess,4x4-1-8x8-SAD,22
7537.05,39.8682,45.1291,46.7136,41.1015,BasketballDrive,randomaccess,8x8-SAD,22
,,,,,BasketballDrive,randomaccess,4x4-3-8x8-1.cpp,22
7533.575,39.8689,45.1288,46.7034,41.1016,BasketballDrive,randomaccess,4x4-1-8x8-1.cpp,22
7533.575,39.8689,45.1288,46.7034,41.1016,BasketballDrive,randomaccess,8x8-5,22
3275.4375,38.8295,43.9901,44.7773,40.0063,BasketballDrive,randomaccess,4x4-1-8x8-3.cpp,27
3275.4375,38.8295,43.9901,44.7773,40.0063,BasketballDrive,randomaccess,4x4-1-8x8-1.cpp,27
3275.4375,38.8295,43.9901,44.7773,40.0063,BasketballDrive,randomaccess,8x8-5,27
3275.4375,38.8295,43.9901,44.7773,40.0063,BasketballDrive,randomaccess,8x8-4,27
3280.325,38.8352,44.0006,44.7962,40.0131,BasketballDrive,randomaccess,8x8-3,27
3275.7125,38.8324,43.9896,44.7984,40.0102,BasketballDrive,randomaccess,8x8-SAD,27
3273.0625,38.8421,43.9988,44.7864,40.0186,BasketballDrive,randomaccess,4x4-3.cpp,27
3271.3875,38.834,44.002,44.7937,40.012,BasketballDrive,randomaccess,8x8-2,27
3278.9875,38.8293,44.0065,44.8081,40.009,BasketballDrive,randomaccess,8x8-4,27
3275.4375,38.8295,43.9901,44.7773,40.0063,BasketballDrive,randomaccess,4x4-1-8x8-2.cpp,27
3287.8625,38.8353,43.9975,44.773,40.0116,BasketballDrive,randomaccess,4x4-3-8x8-SAD.cpp,27
3294.8625,38.8326,44.006,44.7949,40.0113,BasketballDrive,randomaccess,8x8-5,27
,,,,,BasketballDrive,randomaccess,4x4-2-8x8-4.cpp,27
3280.1375,38.8313,44.0034,44.7835,40.0093,BasketballDrive,randomaccess,4x4-1-8x8-SAD,27
3273.075,38.8353,44.0177,44.762,40.0124,BasketballDrive,randomaccess,8x8-1,27
,,,,,BasketballDrive,randomaccess,4x4-3-8x8-1.cpp,27
1650.7125,37.3904,42.7463,42.9353,38.5425,BasketballDrive,randomaccess,8x8-4,32
1658.1375,37.3956,42.6998,42.9368,38.5444,BasketballDrive,randomaccess,4x4-3-8x8-SAD.cpp,32
1657.2875,37.3818,42.7273,42.9094,38.5318,BasketballDrive,randomaccess,8x8-5,32
1650.7125,37.3904,42.7463,42.9353,38.5425,BasketballDrive,randomaccess,4x4-1-8x8-1.cpp,32
1649.25,37.3856,42.7242,42.9425,38.5368,BasketballDrive,randomaccess,8x8-4,32
,,,,,BasketballDrive,randomaccess,4x4-3-8x8-1.cpp,32
1648.825,37.3964,42.7202,42.9624,38.5475,BasketballDrive,randomaccess,8x8-1,32
1645.875,37.3969,42.7221,42.9441,38.5469,BasketballDrive,randomaccess,8x8-2,32
1651.5125,37.3972,42.7148,42.9198,38.5459,BasketballDrive,randomaccess,8x8-SAD,32
1650.7125,37.3904,42.7463,42.9353,38.5425,BasketballDrive,randomaccess,4x4-1-8x8-3.cpp,32
1653.575,37.3882,42.7462,42.9277,38.5395,BasketballDrive,randomaccess,4x4-1-8x8-SAD,32
1651.5625,37.3864,42.7188,42.9038,38.5353,BasketballDrive,randomaccess,8x8-3,32
1650.7125,37.3904,42.7463,42.9353,38.5425,BasketballDrive,randomaccess,8x8-5,32
1648.875,37.3995,42.7204,42.9471,38.5491,BasketballDrive,randomaccess,4x4-3.cpp,32
,,,,,BasketballDrive,randomaccess,4x4-2-8x8-4.cpp,32
,,,,,BasketballDrive,randomaccess,4x4-1-8x8-2.cpp,32
,,,,,BasketballDrive,randomaccess,4x4-3-8x8-1.cpp,37
880.9875,35.6137,41.428,41.101,36.7718,BasketballDrive,randomaccess,8x8-1,37
887.925,35.6232,41.38,41.1034,36.7793,BasketballDrive,randomaccess,8x8-5,37
883.3875,35.6264,41.3767,41.0954,36.7806,BasketballDrive,randomaccess,4x4-1-8x8-SAD,37
,,,,,BasketballDrive,randomaccess,4x4-2-8x8-4.cpp,37
883.3125,35.6398,41.3892,41.0984,36.7936,BasketballDrive,randomaccess,4x4-3.cpp,37
883.05,35.6258,41.3856,41.098,36.781,BasketballDrive,randomaccess,4x4-3-8x8-SAD.cpp,37
881.325,35.6353,41.4113,41.1031,36.7916,BasketballDrive,randomaccess,8x8-2,37
884.5375,35.6334,41.3742,41.0938,36.7869,BasketballDrive,randomaccess,8x8-4,37
