bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
,,,,,BasketballPass,randomaccess,4x4-3-8x8-1.cpp,22
657.475,42.486,45.9025,45.3438,43.2416,BasketballPass,randomaccess,8x8-3,22
653.325,42.4586,45.7964,45.3393,43.2096,BasketballPass,randomaccess,8x8-SAD,22
656.4375,42.495,45.9237,45.4022,43.2576,BasketballPass,randomaccess,8x8-5,22
654.3,42.4814,45.8331,45.384,43.2373,BasketballPass,randomaccess,8x8-2,22
656.4375,42.495,45.9237,45.4022,43.2576,BasketballPass,randomaccess,4x4-1-8x8-1.cpp,22
655.4375,42.4991,45.873,45.4042,43.2567,BasketballPass,randomaccess,4x4-3.cpp,22
656.4375,42.495,45.9237,45.4022,43.2576,BasketballPass,randomaccess,4x4-1-8x8-3.cpp,22
656.4375,42.495,45.9237,45.4022,43.2576,BasketballPass,randomaccess,4x4-1-8x8-2.cpp,22
656.4375,42.495,45.9237,45.4022,43.2576,BasketballPass,randomaccess,8x8-4,22
657.425,42.4797,45.9224,45.3603,43.2391,BasketballPass,randomaccess,8x8-4,22
657.15,42.4877,45.8729,45.3542,43.2411,BasketballPass,randomaccess,4x4-1-8x8-SAD,22
654.075,42.472,45.8348,45.3066,43.2212,BasketballPass,randomaccess,4x4-3-8x8-SAD.cpp,22
661.3375,42.4692,45.8653,45.3823,43.2282,BasketballPass,randomaccess,8x8-5,22
655.9375,42.4855,45.8544,45.3368,43.2346,BasketballPass,randomaccess,8x8-1,22
329.2625,38.7469,43.1385,42.238,39.6355,BasketballPass,randomaccess,8x8-4,27
329.35,38.7932,43.1827,42.3657,39.6889,BasketballPass,randomaccess,4x4-3-8x8-SAD.cpp,27
329.2625,38.7469,43.1385,42.238,39.6355,BasketballPass,randomaccess,4x4-1-8x8-1.cpp,27
328.8125,38.7894,43.184,42.2318,39.6739,BasketballPass,randomaccess,8x8-2,27
329.875,38.7769,43.2045,42.2323,39.6643,BasketballPass,randomaccess,8x8-SAD,27
332.125,38.7581,43.1768,42.2732,39.6506,BasketballPass,randomaccess,8x8-5,27
329.0625,38.7572,43.0709,42.2162,39.6374,BasketballPass,randomaccess,8x8-4,27
329.2625,38.7469,43.1385,42.238,39.6355,BasketballPass,randomaccess,4x4-1-8x8-3.cpp,27
329.5125,38.785,43.1565,42.3551,39.6769,BasketballPass,randomaccess,8x8-1,27
329.2625,38.7469,43.1385,42.238,39.6355,BasketballPass,randomaccess,4x4-1-8x8-2.cpp,27
,,,,,BasketballPass,randomaccess,4x4-3-8x8-1.cpp,27
330.1375,38.787,43.0957,42.3173,39.6728,BasketballPass,randomaccess,8x8-3,27
329.2625,38.7469,43.1385,42.238,39.6355,BasketballPass,randomaccess,8x8-5,27
329.6625,38.7719,43.1779,42.2745,39.6597,BasketballPass,randomaccess,4x4-3.cpp,27
329.3875,38.7982,43.1844,42.2706,39.6809,BasketballPass,randomaccess,4x4-1-8x8-SAD,27
,,,,,BasketballPass,randomaccess,4x4-3-8x8-1.cpp,32
170.525,35.4224,40.7359,39.6954,36.4439,BasketballPass,randomaccess,8x8-5,32
169.6625,35.4506,40.8172,39.755,36.4768,BasketballPass,randomaccess,4x4-1-8x8-SAD,32
168.3625,35.4321,40.861,39.6454,36.4561,BasketballPass,randomaccess,4x4-3-8x8-SAD.cpp,32
170.2,35.4108,40.9178,39.7375,36.4445,BasketballPass,randomaccess,8x8-4,32
168.975,35.3989,40.844,39.5668,36.4179,BasketballPass,randomaccess,4x4-1-8x8-2.cpp,32
168.975,35.3989,40.844,39.5668,36.4179,BasketballPass,randomaccess,8x8-4,32
169.35,35.4241,40.7606,39.6215,36.4369,BasketballPass,randomaccess,8x8-3,32
168.975,35.3989,40.844,39.5668,36.4179,BasketballPass,randomaccess,4x4-1-8x8-3.cpp,32
168.1,35.3832,40.695,39.7379,36.4063,BasketballPass,randomaccess,8x8-SAD,32
168.975,35.3989,40.844,39.5668,36.4179,BasketballPass,randomaccess,4x4-1-8x8-1.cpp,32
169.5,35.4442,40.8144,39.761,36.4702,BasketballPass,randomaccess,8x8-2,32
168.975,35.3989,40.844,39.5668,36.4179,BasketballPass,randomaccess,8x8-5,32
168.1125,35.4125,40.6449,39.5574,36.4171,BasketballPass,randomaccess,4x4-3.cpp,32
168.55,35.4398,40.7546,39.6079,36.4515,BasketballPass,randomaccess,8x8-1,32
91.4375,32.631,38.8047,37.8622,33.7826,BasketballPass,randomaccess,4x4-1-8x8-3.cpp,37
92.125,32.6745,38.8984,37.7314,33.8141,BasketballPass,randomaccess,8x8-1,37
92.0375,32.6387,38.7505,37.7623,33.7781,BasketballPass,randomaccess,8x8-3,37
90.3875,32.6052,38.9326,37.8001,33.7615,BasketballPass,randomaccess,8x8-SAD,37
,,,,,BasketballPass,randomaccess,4x4-3-8x8-1.cpp,37
91.3,32.5753,38.9124,37.8016,33.7304,BasketballPass,randomaccess,8x8-5,37
91.4375,32.631,38.8047,37.8622,33.7826,BasketballPass,randomaccess,4x4-1-8x8-1.cpp,37
91.7125,32.6645,38.7573,37.8685,33.813,BasketballPass,randomaccess,4x4-3-8x8-SAD.cpp,37
90.55,32.6198,38.9345,37.7499,33.7668,BasketballPass,randomaccess,8x8-4,37
91.45,32.644,38.8966,37.8704,33.7959,BasketballPass,randomaccess,8x8-2,37
91.4375,32.631,38.8047,37.8622,33.7826,BasketballPass,randomaccess,8x8-4,37
91.2375,32.6598,38.7014,37.8965,33.8033,BasketballPass,randomaccess,4x4-3.cpp,37
91.4375,32.631,38.8047,37.8622,33.7826,BasketballPass,randomaccess,4x4-1-8x8-2.cpp,37
91.9125,32.6636,38.5464,37.7185,33.7877,BasketballPass,randomaccess,4x4-1-8x8-SAD,37
91.4375,32.631,38.8047,37.8622,33.7826,BasketballPass,randomaccess,8x8-5,37
