bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
,,,,,Campfire,randomaccess,8x8-5,22
,,,,,Campfire,randomaccess,4x4-1-8x8-1.cpp,22
,,,,,Campfire,randomaccess,8x8-1,22
,,,,,Campfire,randomaccess,8x8-SAD,22
,,,,,Campfire,randomaccess,8x8-4,22
,,,,,Campfire,randomaccess,4x4-1-8x8-3.cpp,22
,,,,,Campfire,randomaccess,8x8-3,22
,,,,,Campfire,randomaccess,8x8-4,22
,,,,,Campfire,randomaccess,4x4-3-8x8-SAD.cpp,22
,,,,,Campfire,randomaccess,4x4-3.cpp,22
,,,,,Campfire,randomaccess,8x8-2,22
,,,,,Campfire,randomaccess,4x4-1-8x8-SAD,22
,,,,,Campfire,randomaccess,4x4-1-8x8-2.cpp,22
,,,,,Campfire,randomaccess,8x8-5,22
,,,,,Campfire,randomaccess,4x4-3-8x8-1.cpp,22
,,,,,Campfire,randomaccess,8x8-1,27
,,,,,Campfire,randomaccess,4x4-3-8x8-1.cpp,27
,,,,,Campfire,randomaccess,8x8-2,27
,,,,,Campfire,randomaccess,4x4-1-8x8-3.cpp,27
,,,,,Campfire,randomaccess,8x8-4,27
,,,,,Campfire,randomaccess,8x8-3,27
,,,,,Campfire,randomaccess,8x8-5,27
,,,,,Campfire,randomaccess,4x4-1-8x8-1.cpp,27
,,,,,Campfire,randomaccess,8x8-4,27
,,,,,Campfire,randomaccess,4x4-1-8x8-2.cpp,27
,,,,,Campfire,randomaccess,8x8-5,27
,,,,,Campfire,randomaccess,4x4-3.cpp,27
,,,,,Campfire,randomaccess,4x4-3-8x8-SAD.cpp,27
,,,,,Campfire,randomaccess,4x4-1-8x8-SAD,27
,,,,,Campfire,randomaccess,8x8-SAD,27
,,,,,Campfire,randomaccess,4x4-1-8x8-1.cpp,32
,,,,,Campfire,randomaccess,4x4-3-8x8-SAD.cpp,32
,,,,,Campfire,randomaccess,8x8-5,32
,,,,,Campfire,randomaccess,8x8-4,32
,,,,,Campfire,randomaccess,8x8-1,32
,,,,,Campfire,randomaccess,8x8-4,32
,,,,,Campfire,randomaccess,4x4-3-8x8-1.cpp,32
,,,,,Campfire,randomaccess,8x8-SAD,32
,,,,,Campfire,randomaccess,8x8-2,32
,,,,,Campfire,randomaccess,4x4-1-8x8-SAD,32
,,,,,Campfire,randomaccess,4x4-1-8x8-3.cpp,32
,,,,,Campfire,randomaccess,8x8-3,32
,,,,,Campfire,randomaccess,8x8-5,32
,,,,,Campfire,randomaccess,4x4-3.cpp,32
,,,,,Campfire,randomaccess,4x4-1-8x8-2.cpp,32
,,,,,Campfire,randomaccess,4x4-3-8x8-1.cpp,37
,,,,,Campfire,randomaccess,8x8-1,37
,,,,,Campfire,randomaccess,8x8-5,37
,,,,,Campfire,randomaccess,4x4-1-8x8-SAD,37
,,,,,Campfire,randomaccess,4x4-1-8x8-2.cpp,37
,,,,,Campfire,randomaccess,4x4-3-8x8-SAD.cpp,37
,,,,,Campfire,randomaccess,4x4-1-8x8-1.cpp,37
,,,,,Campfire,randomaccess,8x8-4,37
,,,,,Campfire,randomaccess,8x8-5,37
,,,,,Campfire,randomaccess,8x8-3,37
,,,,,Campfire,randomaccess,8x8-4,37
,,,,,Campfire,randomaccess,4x4-1-8x8-3.cpp,37
,,,,,Campfire,randomaccess,8x8-SAD,37
,,,,,Campfire,randomaccess,8x8-2,37
,,,,,Campfire,randomaccess,4x4-3.cpp,37
