bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
1146.105,39.2342,41.4889,41.966,39.7885,RaceHorses,randomaccess,4x4-1-8x8-3.cpp,22
1142.535,39.2393,41.4477,41.9698,39.788,RaceHorses,randomaccess,8x8-3,22
,,,,,RaceHorses,randomaccess,4x4-3-8x8-1.cpp,22
1157.94,39.2195,41.4446,41.9336,39.7678,RaceHorses,randomaccess,8x8-5,22
1147.86,39.246,41.4495,41.9565,39.7933,RaceHorses,randomaccess,4x4-3-8x8-SAD.cpp,22
1144.74,39.244,41.478,42.001,39.7984,RaceHorses,randomaccess,4x4-1-8x8-SAD,22
1145.8125,39.2548,41.4563,41.996,39.8056,RaceHorses,randomaccess,8x8-SAD,22
1144.4325,39.2373,41.4481,41.9804,39.7887,RaceHorses,randomaccess,8x8-4,22
1146.105,39.2342,41.4889,41.966,39.7885,RaceHorses,randomaccess,4x4-1-8x8-2.cpp,22
1146.105,39.2342,41.4889,41.966,39.7885,RaceHorses,randomaccess,8x8-5,22
1146.105,39.2342,41.4889,41.966,39.7885,RaceHorses,randomaccess,8x8-4,22
1145.8425,39.2494,41.4768,41.9542,39.7988,RaceHorses,randomaccess,8x8-1,22
1144.215,39.2473,41.4582,41.9653,39.7964,RaceHorses,randomaccess,4x4-3.cpp,22
1146.105,39.2342,41.4889,41.966,39.7885,RaceHorses,randomaccess,4x4-1-8x8-1.cpp,22
1144.8525,39.2393,41.4715,41.9841,39.7928,RaceHorses,randomaccess,8x8-2,22
559.005,35.2874,38.856,39.1028,36.0573,RaceHorses,randomaccess,8x8-SAD,27
,,,,,RaceHorses,randomaccess,4x4-3-8x8-1.cpp,27
558.0225,35.2804,38.7909,39.1254,36.0483,RaceHorses,randomaccess,4x4-1-8x8-1.cpp,27
558.0225,35.2804,38.7909,39.1254,36.0483,RaceHorses,randomaccess,4x4-1-8x8-3.cpp,27
557.9025,35.2764,38.8173,39.0696,36.0416,RaceHorses,randomaccess,8x8-4,27
560.49,35.3077,38.8127,39.1721,36.0779,RaceHorses,randomaccess,4x4-3-8x8-SAD.cpp,27
564.39,35.2772,38.7794,39.2291,36.0515,RaceHorses,randomaccess,8x8-5,27
558.9,35.295,38.78,39.2042,36.0657,RaceHorses,randomaccess,8x8-2,27
558.0225,35.2804,38.7909,39.1254,36.0483,RaceHorses,randomaccess,8x8-4,27
559.065,35.2925,38.8363,39.1732,36.0669,RaceHorses,randomaccess,8x8-1,27
557.64,35.2861,38.8426,39.1124,36.0555,RaceHorses,randomaccess,8x8-3,27
557.5875,35.2941,38.8189,39.1253,36.0627,RaceHorses,randomaccess,4x4-1-8x8-SAD,27
558.0225,35.2804,38.7909,39.1254,36.0483,RaceHorses,randomaccess,4x4-1-8x8-2.cpp,27
558.0225,35.2804,38.7909,39.1254,36.0483,RaceHorses,randomaccess,8x8-5,27
556.935,35.2834,38.8041,39.1122,36.0521,RaceHorses,randomaccess,4x4-3.cpp,27
275.3775,31.8598,36.5882,36.6945,32.8265,RaceHorses,randomaccess,4x4-1-8x8-2.cpp,32
273.9225,31.86,36.7058,36.7125,32.8358,RaceHorses,randomaccess,4x4-3-8x8-SAD.cpp,32
275.3775,31.8598,36.5882,36.6945,32.8265,RaceHorses,randomaccess,8x8-4,32
275.0475,31.8044,36.6048,36.7731,32.7825,RaceHorses,randomaccess,8x8-5,32
275.3775,31.8598,36.5882,36.6945,32.8265,RaceHorses,randomaccess,4x4-1-8x8-1.cpp,32
273.06,31.8473,36.6697,36.722,32.8225,RaceHorses,randomaccess,8x8-4,32
273.5925,31.8808,36.6119,36.8361,32.8581,RaceHorses,randomaccess,4x4-3.cpp,32
274.56,31.8637,36.7031,36.8908,32.8518,RaceHorses,randomaccess,8x8-2,32
275.3775,31.8598,36.5882,36.6945,32.8265,RaceHorses,randomaccess,8x8-5,32
274.1625,31.8536,36.6028,36.724,32.8245,RaceHorses,randomaccess,8x8-SAD,32
274.395,31.8817,36.6785,36.8074,32.8605,RaceHorses,randomaccess,8x8-1,32
274.2525,31.8626,36.6385,36.8587,32.846,RaceHorses,randomaccess,8x8-3,32
275.3775,31.8598,36.5882,36.6945,32.8265,RaceHorses,randomaccess,4x4-1-8x8-3.cpp,32
,,,,,RaceHorses,randomaccess,4x4-3-8x8-1.cpp,32
275.0025,31.885,36.6338,36.7728,32.8594,RaceHorses,randomaccess,4x4-1-8x8-SAD,32
140.3475,29.1045,35.1083,34.9498,30.2557,RaceHorses,randomaccess,8x8-5,37
,,,,,RaceHorses,randomaccess,4x4-3-8x8-1.cpp,37
140.0925,29.1345,35.1607,35.0461,30.2888,RaceHorses,randomaccess,8x8-1,37
141.03,29.1322,35.1585,34.9876,30.2822,RaceHorses,randomaccess,4x4-1-8x8-SAD,37
140.985,29.1404,35.0658,35.0195,30.289,RaceHorses,randomaccess,4x4-1-8x8-2.cpp,37
141.645,29.1316,35.1781,35.0559,30.2874,RaceHorses,randomaccess,8x8-4,37
140.985,29.1404,35.0658,35.0195,30.289,RaceHorses,randomaccess,4x4-1-8x8-3.cpp,37
140.985,29.1404,35.0658,35.0195,30.289,RaceHorses,randomaccess,8x8-4,37
140.985,29.1404,35.0658,35.0195,30.289,RaceHorses,randomaccess,4x4-1-8x8-1.cpp,37
141.165,29.1617,35.1995,35.1414,30.3199,RaceHorses,randomaccess,4x4-3.cpp,37
140.4225,29.1467,35.0902,35.1654,30.3019,RaceHorses,randomaccess,8x8-2,37
140.985,29.1404,35.0658,35.0195,30.289,RaceHorses,randomaccess,8x8-5,37
139.7325,29.1358,35.0755,35.1041,30.288,RaceHorses,randomaccess,8x8-3,37
140.7225,29.1395,35.1596,35.0623,30.2935,RaceHorses,randomaccess,4x4-3-8x8-SAD.cpp,37
140.67,29.1571,35.1158,34.9291,30.2996,RaceHorses,randomaccess,8x8-SAD,37
