bitrate,Y_PSNR,U_PSNR,V_PSNR,YUV_PSNR,fileName,encoder,satd,qp
,,,,,RitualDance,randomaccess,4x4-3-8x8-1.cpp,22
7881.33,46.1939,48.3781,48.9898,46.7902,RitualDance,randomaccess,8x8-4,22
7879.38,46.2053,48.3938,48.9937,46.8013,RitualDance,randomaccess,8x8-2,22
7857.915,46.22,48.3875,48.989,46.812,RitualDance,randomaccess,4x4-3.cpp,22
7879.815,46.1953,48.3758,49.0056,46.7927,RitualDance,randomaccess,8x8-4,22
7877.025,46.1999,48.3667,48.9825,46.7931,RitualDance,randomaccess,8x8-3,22
7879.815,46.1953,48.3758,49.0056,46.7927,RitualDance,randomaccess,4x4-1-8x8-1.cpp,22
7879.815,46.1953,48.3758,49.0056,46.7927,RitualDance,randomaccess,4x4-1-8x8-2.cpp,22
7879.815,46.1953,48.3758,49.0056,46.7927,RitualDance,randomaccess,8x8-5,22
7879.815,46.1953,48.3758,49.0056,46.7927,RitualDance,randomaccess,4x4-1-8x8-3.cpp,22
7892.205,46.1946,48.3981,48.9867,46.7926,RitualDance,randomaccess,4x4-3-8x8-SAD.cpp,22
7909.2,46.1878,48.3668,48.9991,46.7844,RitualDance,randomaccess,8x8-5,22
7899.675,46.1983,48.373,48.9889,46.7923,RitualDance,randomaccess,4x4-1-8x8-SAD,22
7891.335,46.2012,48.3565,48.9882,46.793,RitualDance,randomaccess,8x8-SAD,22
7864.23,46.2054,48.3714,49.0212,46.8017,RitualDance,randomaccess,8x8-1,22
,,,,,RitualDance,randomaccess,4x4-2-8x8-4.cpp,22
4055.955,43.0635,46.0878,46.2653,43.7306,RitualDance,randomaccess,4x4-1-8x8-3.cpp,27
4055.955,43.0635,46.0878,46.2653,43.7306,RitualDance,randomaccess,4x4-1-8x8-1.cpp,27
4049.34,43.0663,46.057,46.2857,43.7311,RitualDance,randomaccess,8x8-1,27
4048.995,43.0686,46.0756,46.2602,43.7333,RitualDance,randomaccess,8x8-3,27
4060.065,43.0574,46.0697,46.2698,43.7243,RitualDance,randomaccess,8x8-SAD,27
4055.955,43.0635,46.0878,46.2653,43.7306,RitualDance,randomaccess,8x8-4,27
4057.5,43.063,46.0635,46.2563,43.7279,RitualDance,randomaccess,8x8-4,27
4055.955,43.0635,46.0878,46.2653,43.7306,RitualDance,randomaccess,8x8-5,27
4034.805,43.0743,46.0894,46.2542,43.7373,RitualDance,randomaccess,4x4-3.cpp,27
,,,,,RitualDance,randomaccess,4x4-1-8x8-2.cpp,27
,,,,,RitualDance,randomaccess,4x4-2-8x8-4.cpp,27
4056.735,43.0573,46.0578,46.2321,43.72,RitualDance,randomaccess,4x4-3-8x8-SAD.cpp,27
4055.25,43.0576,46.0682,46.2793,43.7257,RitualDance,randomaccess,4x4-1-8x8-SAD,27
4076.205,43.0499,46.0538,46.2556,43.7157,RitualDance,randomaccess,8x8-5,27
,,,,,RitualDance,randomaccess,4x4-3-8x8-1.cpp,27
4047.525,43.0575,46.0705,46.2639,43.7233,RitualDance,randomaccess,8x8-2,27
2182.275,39.9135,44.3163,44.115,40.7537,RitualDance,randomaccess,8x8-4,32
2192.01,39.9171,44.2921,44.1758,40.7624,RitualDance,randomaccess,4x4-3-8x8-SAD.cpp,32
2191.905,39.9033,44.3143,44.1485,40.7489,RitualDance,randomaccess,8x8-5,32
2182.56,39.9043,44.2789,44.0821,40.7444,RitualDance,randomaccess,4x4-1-8x8-1.cpp,32
2182.56,39.9043,44.2789,44.0821,40.7444,RitualDance,randomaccess,8x8-4,32
2182.56,39.9043,44.2789,44.0821,40.7444,RitualDance,randomaccess,4x4-1-8x8-3.cpp,32
2184.3,39.9331,44.3477,44.1016,40.7752,RitualDance,randomaccess,8x8-2,32
,,,,,RitualDance,randomaccess,4x4-3-8x8-1.cpp,32
2186.535,39.9174,44.2733,44.0612,40.7518,RitualDance,randomaccess,4x4-1-8x8-SAD,32
,,,,,RitualDance,randomaccess,4x4-2-8x8-4.cpp,32
2182.56,39.9043,44.2789,44.0821,40.7444,RitualDance,randomaccess,4x4-1-8x8-2.cpp,32
2176.41,39.9224,44.3302,44.0851,40.7624,RitualDance,randomaccess,4x4-3.cpp,32
